geometry,name,amenity,public_transport,railway,highway,stars,internet_access,brand,operator,cuisine,rooms,opening_hours,wheelchair,addr:street,addr:housenumber,addr:postcode,lon,lat
POINT (-4.777089 37.9081),Deán Francisco Xavier,,platform,,bus_stop,,,,Aucorsa,,,,,,,,-4.777089,37.9081
POINT (-4.806352 37.926666),El Cerrillo DC,,platform,,bus_stop,,,,Aucorsa,,,,,,,,-4.806352,37.926666
POINT (-4.8063213 37.9268621),El Cerrillo,,platform,,bus_stop,,,,Aucorsa,,,,,,,,-4.8063213,37.9268621
POINT (-4.774329 37.8801518),El Potro (La Ribera) DC,,platform,,bus_stop,,,,Aucorsa,,,,limited,,,,-4.774329,37.8801518
POINT (-4.793625 37.901501),El Tablero (Circuito),,platform,,bus_stop,,,,Aucorsa,,,,,,,,-4.793625,37.901501
POINT (-4.8096714 37.8815179),Electromecánicas,,platform,,bus_stop,,,,Aucorsa,,,,,,,,-4.8096714,37.8815179
POINT (-4.7550203 37.8954447),Escritor Carrillo Lasso,,platform,,bus_stop,,,,Aucorsa,,,,,,,,-4.7550203,37.8954447
POINT (-4.795103 37.888805),Escritor Mercado Solís D.C.,,platform,,bus_stop,,,,Aucorsa,,,,,,,,-4.795103,37.888805
POINT (-4.796664 37.88871),Escritor Mercado Solís,,platform,,bus_stop,,,,Aucorsa,,,,,,,,-4.796664,37.88871
POINT (-4.782207 37.858601),General Lázaro Cárdenas 2ª,,platform,,bus_stop,,,,Aucorsa,,,,,,,,-4.782207,37.858601
POINT (-4.8051987 37.9145958),Glorieta Alba,,platform,,bus_stop,,,,Aucorsa,,,,,,,,-4.8051987,37.9145958
POINT (-4.7857021 37.9108155),Glorieta Calasancio DC,,platform,,bus_stop,,,,Aucorsa,,,,,,,,-4.7857021,37.9108155
POINT (-4.7853506 37.9105255),Glorieta Calasancio,,platform,,bus_stop,,,,Aucorsa,,,,,,,,-4.7853506,37.9105255
POINT (-4.7952368 37.9194596),Glorieta Castilleja,,platform,,bus_stop,,,,Aucorsa,,,,,,,,-4.7952368,37.9194596
POINT (-4.7862058 37.8937279),Goya 1ª,,platform,,bus_stop,,,,Aucorsa,,,,,,,,-4.7862058,37.8937279
POINT (-4.787773 37.893055),Goya,,platform,,bus_stop,,,,Aucorsa,,,,,,,,-4.787773,37.893055
POINT (-4.794674 37.883263),Gran Vía Parque,,platform,,bus_stop,,,,Aucorsa,,,,,,,,-4.794674,37.883263
POINT (-4.792641 37.869568),Hospital Provincial D Reina Sofía,,platform,,bus_stop,,,,Aucorsa,,,,,,,,-4.792641,37.869568
POINT (-4.7937025 37.8688362),Hospital Provincial,,platform,,bus_stop,,,,Aucorsa,,,,yes,,,,-4.7937025,37.8688362
POINT (-4.8059481 37.887689),Isla Gomera,,platform,,bus_stop,,,,Aucorsa,,,,,,,,-4.8059481,37.887689
POINT (-4.7622697 37.8908438),Jesús Rescatado (Viñuela),,platform,,platform,,,,AUCORSA,,,,yes,,,,-4.7622697,37.8908438
POINT (-4.793593 37.869221),José de Tapia (Hospital Provincial),,platform,,bus_stop,,,,Aucorsa,,,,,,,,-4.793593,37.869221
POINT (-4.8400771 37.8505559),Kilómetro 5,,platform,,bus_stop,,,,AUCORSA,,,,,,,,-4.8400771,37.8505559
POINT (-4.7806243 37.8614189),Libertador Simón Bolívar 2ª D Reina Sofía,,stop_position,,bus_stop,,,,Aucorsa,,,,,,,,-4.7806243,37.8614189
POINT (-4.852055 37.848911),La Golondrina,,platform,,bus_stop,,,,AUCORSA,,,,,,,,-4.852055,37.848911
POINT (-4.845236 37.858013),Llanos del Castillo 1ª D.C,,platform,,bus_stop,,,,AUCORSA,,,,,,,,-4.845236,37.858013
POINT (-4.843418 37.855885),Llanos del Castillo 2ª D.C,,platform,,bus_stop,,,,AUCORSA,,,,,,,,-4.843418,37.855885
POINT (-4.7787006 37.8636806),Loja,,platform,,bus_stop,,,,Aucorsa,,,,,,,,-4.7787006,37.8636806
POINT (-4.805545 37.933811),Hospital Los Morales,,platform,,bus_stop,,,,Aucorsa,,,,,,,,-4.805545,37.933811
POINT (-4.7802828 37.9081354),Madres Escolapias,,platform,,bus_stop,,,,Aucorsa,,,,,,,,-4.7802828,37.9081354
POINT (-4.869819 37.848003),Majaneque DC,,platform,,bus_stop,,,,AUCORSA,,,,,,,,-4.869819,37.848003
POINT (-4.7769204 37.8632906),Marbella (Motril),,platform,,bus_stop,,,,Aucorsa,,,,,,,,-4.7769204,37.8632906
POINT (-4.789018 37.88504),Medina Azahara 2ª DC,,platform,,bus_stop,,,,Aucorsa,,,,,,,,-4.789018,37.88504
POINT (-4.795028 37.915382),Músico Guerrero 1ª,,platform,,bus_stop,,,,Aucorsa,,,,,,,,-4.795028,37.915382
POINT (-4.7897819 37.8917937),Músico Tomás de Victoria DC,,platform,,bus_stop,,,,Aucorsa,,,,,,,,-4.7897819,37.8917937
POINT (-4.7899869 37.8916024),Músico Tomás de Victoria,,platform,,bus_stop,,,,Aucorsa,,,,,,,,-4.7899869,37.8916024
POINT (-4.783223 37.895683),Nogal,,platform,,bus_stop,,,,Aucorsa,,,,,,,,-4.783223,37.895683
POINT (-4.7585958 37.8996504),Nuestra Señora de la Merced,,platform,,bus_stop,,,,Aucorsa,,,,,,,,-4.7585958,37.8996504
POINT (-4.794567 37.90448),Obispo Azcagorta 2ª,,platform,,bus_stop,,,,Aucorsa,,,,,,,,-4.794567,37.90448
POINT (-4.794733 37.904366),Obispo Azcagorta DC,,platform,,bus_stop,,,,Aucorsa,,,,,,,,-4.794733,37.904366
POINT (-4.7585386 37.8901175),Pablo Ruiz Picasso,,platform,,bus_stop,,,,Aucorsa,,,,,,,,-4.7585386,37.8901175
POINT (-4.763273 37.879086),Periodista Ricardo Rodríguez,,platform,,bus_stop,,,,Aucorsa,,,,,,,,-4.763273,37.879086
POINT (-4.809796 37.913277),Poeta Jorge Guillén,,platform,,bus_stop,,,,Aucorsa,,,,,,,,-4.809796,37.913277
POINT (-4.7790177 37.8776958),Puerta del Puente,,platform,,bus_stop,,,,03&12 Bus station,,,,,,,,-4.7790177,37.8776958
POINT (-4.762404 37.89407),Sagunto (Fernando IV),,platform,,bus_stop,,,,Aucorsa,,,,,,,,-4.762404,37.89407
POINT (-4.775733 37.885677),San Pablo,,platform,,bus_stop,,,,Aucorsa,,,,limited,,,,-4.775733,37.885677
POINT (-4.787904 37.913803),Sansueña (Eucalipto) DC,,platform,,bus_stop,,,,Aucorsa,,,,,,,,-4.787904,37.913803
POINT (-4.787413 37.913128),Sansueña (Eucalipto),,platform,,bus_stop,,,,Aucorsa,,,,,,,,-4.787413,37.913128
POINT (-4.789487 37.915127),Sansueña 1ª,,platform,,bus_stop,,,,Aucorsa,,,,,,,,-4.789487,37.915127
POINT (-4.779814 37.896832),Santa Rosa,,platform,,bus_stop,,,,Aucorsa,,,,,,,,-4.779814,37.896832
POINT (-4.756757 37.8870881),Santa Emilia de Rodat (Gago Jiménez),,platform,,bus_stop,,,,Aucorsa,,,,,,,,-4.756757,37.8870881
POINT (-4.7564422 37.8872453),Santa Emilia de Rodat,,platform,,bus_stop,,,,Aucorsa,,,,,,,,-4.7564422,37.8872453
POINT (-4.7858507 37.8786434),Vallellano (Comisaría),,platform,,bus_stop,,,,Aucorsa,,,,,,,,-4.7858507,37.8786434
POINT (-4.786267 37.8783612),Vallellano (Juzgados),,platform,,bus_stop,,,,Aucorsa,,,,,,,,-4.786267,37.8783612
POINT (-4.7798999 37.8994231),Virgen Angustias 1ª DC,,platform,,bus_stop,,,,Aucorsa,,,,,,,,-4.7798999,37.8994231
POINT (-4.7570554 37.8856675),Virgen Milagrosa 1ª DC,,platform,,bus_stop,,,,Aucorsa,,,,,,,,-4.7570554,37.8856675
POINT (-4.760123 37.885612),Virgen Milagrosa 1ª,,platform,,bus_stop,,,,Aucorsa,,,,,,,,-4.760123,37.885612
POINT (-4.7569731 37.8855587),Virgen Milagrosa 2ª,,platform,,bus_stop,,,,Aucorsa,,,,,,,,-4.7569731,37.8855587
POINT (-4.761959 37.898491),Virgen de Fátima 2ª,,platform,,bus_stop,,,,Aucorsa,,,,,,,,-4.761959,37.898491
POINT (-4.758188 37.8827252),Virgen de la Fuensanta,,platform,,bus_stop,,,,Aucorsa,,,,,,,,-4.758188,37.8827252
POINT (-4.795795 37.874439),Virgen de los Dolores D.C.,,platform,,bus_stop,,,,Aucorsa,,,,,,,,-4.795795,37.874439
POINT (-4.795524 37.874195),Virgen de los Dolores,,platform,,bus_stop,,,,Aucorsa,,,,,,,,-4.795524,37.874195
POINT (-4.7536558 37.884566),Virgen del Mar,,platform,,bus_stop,,,,Aucorsa,,,,,,,,-4.7536558,37.884566
POINT (-4.791565 37.8774797),Vista Alegre,,platform,,bus_stop,,,,Aucorsa,,,,,,,,-4.791565,37.8774797
POINT (-4.749929 37.889908),Zafiro (Central de taxis),,platform,,bus_stop,,,,Aucorsa,,,,,,,,-4.749929,37.889908
POINT (-4.7622006 37.8818677),Avenida Nuestra Señora de la Fuensanta (Calderón de la Barca),,platform,,bus_stop,,,,Aucorsa,,,,,,,,-4.7622006,37.8818677
POINT (-4.7603956 37.8946902),Sagunto,,platform,,bus_stop,,,,,,,,,,,,-4.7603956,37.8946902
POINT (-4.7612848 37.9306854),,,stop_position,,bus_stop,,,,,,,,,,,,-4.7612848,37.9306854
POINT (-4.7564347 37.9288887),,,platform,,bus_stop,,,,,,,,,,,,-4.7564347,37.9288887
POINT (-4.7554171 37.9247261),,,stop_position,,bus_stop,,,,,,,,,,,,-4.7554171,37.9247261
POINT (-4.7638305 37.9343951),,,stop_position,,bus_stop,,,,,,,,,,,,-4.7638305,37.9343951
POINT (-4.7601443 37.9358667),,,stop_position,,bus_stop,,,,,,,,,,,,-4.7601443,37.9358667
POINT (-4.7587599 37.9360233),,,stop_position,,bus_stop,,,,,,,,,,,,-4.7587599,37.9360233
POINT (-4.7692548 37.9779021),,,stop_position,,bus_stop,,,,,,,,,,,,-4.7692548,37.9779021
POINT (-4.7685619 37.9897611),,,platform,,bus_stop,,,,,,,,,,,,-4.7685619,37.9897611
POINT (-4.7678766 37.992887),,,stop_position,,bus_stop,,,,,,,,,,,,-4.7678766,37.992887
POINT (-4.7693408 37.9976445),,,stop_position,,bus_stop,,,,,,,,,,,,-4.7693408,37.9976445
POINT (-4.7700543 38.00187),,,stop_position,,bus_stop,,,,,,,,,,,,-4.7700543,38.00187
POINT (-4.7590422 37.9050298),,,platform,,bus_stop,,,,,,,,,,,,-4.7590422,37.9050298
POINT (-4.8340912 37.877594),,,platform,,bus_stop,,,,,,,,,,,,-4.8340912,37.877594
POINT (-4.8670389 37.9014955),,,platform,,bus_stop,,,,,,,,,,,,-4.8670389,37.9014955
POINT (-4.8732565 37.9021038),,,stop_position,,bus_stop,,,,,,,,,,,,-4.8732565,37.9021038
POINT (-4.8818305 37.9008428),,,platform,,bus_stop,,,,,,,,,,,,-4.8818305,37.9008428
POINT (-4.8824895 37.9135468),,,platform,,bus_stop,,,,,,,,,,,,-4.8824895,37.9135468
POINT (-4.8920762 37.9220296),,,platform,,bus_stop,,,,,,,,,,,,-4.8920762,37.9220296
POINT (-4.8950659 37.9246041),Virgencita,,platform,,bus_stop,,,,Aucorsa,,,,,,,,-4.8950659,37.9246041
POINT (-4.8981749 37.9265748),Centro Cívico,,platform,,bus_stop,,,,Aucorsa,,,,,,,,-4.8981749,37.9265748
POINT (-4.9015195 37.9297927),,,platform,,bus_stop,,,,,,,,,,,,-4.9015195,37.9297927
POINT (-4.7906518 37.8885797),Renfe - Estación Autobuses Oeste,,platform,,bus_stop,,,,,,,,,,,,-4.7906518,37.8885797
POINT (-4.7988357 37.9071421),Parador la Arutafa DC,,platform,,bus_stop,,,,Aucorsa,,,,,,,,-4.7988357,37.9071421
POINT (-4.799076 37.9070691),Parador la Arutafa,,platform,,bus_stop,,,,Aucorsa,,,,,,,,-4.799076,37.9070691
POINT (-4.7754881 37.8858295),Parking San Pablo,parking,,,,,,,,,,,,Calle San Pablo,7,14002,-4.7754881,37.8858295
POINT (-4.7846507 37.8845253),Aparcamiento Paseo de la Victoria,parking,,,,,,,,,,,,Paseo de la Victoria,,14004,-4.7846507,37.8845253
POINT (-4.7807129 37.8793667),Eurostars Maimónides,,,,,3,wlan,Eurostars Hotel Company,Eurostars,,,,,Calle de Torrijos,4,14003,-4.7807129,37.8793667
POINT (-4.7802215 37.8804836),Marídame,restaurant,,,,,wlan,,,regional,,,,Calle Céspedes,5,14003,-4.7802215,37.8804836
POINT (-4.7786947 37.8792526),Eurostars Conquistador,,,,,4,,Eurostars Hotel Company,Eurostars Holtel Company,,,,,Calle del Magistrado González Francés,15-17,14003,-4.7786947,37.8792526
POINT (-4.7785729 37.8809149),Hostal La Milagrosa,,,,,1,,,,,,,no,Calle Rey Heredia,12,14003,-4.7785729,37.8809149
POINT (-4.7819473 37.8821173),Don Paula,,,,,2,,,,,,,,Plaza de Pineda,2,14003,-4.7819473,37.8821173
POINT (-4.7795971 37.881532),El Sueño,,,,,,wlan,,,,6,,,Calle Rey Heredia,6,14003,-4.7795971,37.881532
POINT (-4.6806574 37.9464902),,,platform,,bus_stop,,,,,,,,,,,,-4.6806574,37.9464902
POINT (-4.7791227 37.8803167),Los Omeyas,,,,,2,,,,,,,,,,,-4.7791227,37.8803167
POINT (-4.7790474 37.8782661),Posada del Vallina,,,,,3,wlan,,,,,,,,,,-4.7790474,37.8782661
POINT (-4.77829 37.87869),Hostal La Piquera,,,,,,wlan,,,,,,limited,,,,-4.77829,37.87869
POINT (-4.7769297 37.8797038),Entreolivos,restaurant,,,,,no,,,regional,,,no,Calle Cardenal González,,,-4.7769297,37.8797038
POINT (-4.8108799 37.8849731),Miralbaida (Paseo de los Verdiales),,platform,,bus_stop,,,,,,,,,,,,-4.8108799,37.8849731
POINT (-4.8106178 37.8854387),Paseo de los Verdiales DC,,platform,,bus_stop,,,,,,,,,,,,-4.8106178,37.8854387
POINT (-4.8145353 37.8847768),María La Talegona,,platform,,bus_stop,,,,,,,,,,,,-4.8145353,37.8847768
POINT (-4.8141675 37.88468),Paseo de los Verdiales,,platform,,bus_stop,,,,,,,,,,,,-4.8141675,37.88468
POINT (-4.8126649 37.8860376),Miralbaida,,platform,,bus_stop,,,,,,,,,,,,-4.8126649,37.8860376
POINT (-4.81018 37.8833817),Electromecánicas (Miralbaida),,platform,,bus_stop,,,,,,,,,,,,-4.81018,37.8833817
POINT (-4.8108018 37.8855413),Paseo de los Verdiales (Miralbaida),,platform,,bus_stop,,,,,,,,,,,,-4.8108018,37.8855413
POINT (-4.7790238 37.8908863),Colón Norte,,platform,,bus_stop,,,,,,,,,,,,-4.7790238,37.8908863
POINT (-4.7786872 37.8909868),Colón Norte,,platform,,bus_stop,,,,,,,,,,,,-4.7786872,37.8909868
POINT (-4.7793322 37.8908059),Colón Norte,,platform,,bus_stop,,,,,,,,,,,,-4.7793322,37.8908059
POINT (-4.7775763 37.8903732),Colón Este,,platform,,platform,,,,,,,,,,,,-4.7775763,37.8903732
POINT (-4.7570319 37.8997902),Fátima (Doctor Nevado del Rey),,platform,,bus_stop,,,,,,,,,,,,-4.7570319,37.8997902
POINT (-4.7652696 37.8913176),Marrubial (Puerta Plasencia),,platform,,platform,,,,,,,,,,,,-4.7652696,37.8913176
POINT (-4.7656912 37.890859),Padres de Gracia,,platform,,platform,,,,,,,,,,,,-4.7656912,37.890859
POINT (-4.7629656 37.8974275),Carlos III (Blas Infante),,platform,,platform,,,,,,,,,,,,-4.7629656,37.8974275
POINT (-4.7530962 37.8973642),,,platform,,bus_stop,,,,,,,,,,,,-4.7530962,37.8973642
POINT (-4.7783057 37.8785679),Campos de Toro,restaurant,,,,,wlan,,,tapas,,,limited,Calle del Corregidor Luis de la Cerda,73,,-4.7783057,37.8785679
POINT (-4.7805279 37.8887427),Ronda Tejares (Doce Octubre),,platform,,bus_stop,,,,,,,,,,,,-4.7805279,37.8887427
POINT (-4.7832156 37.8873082),Ronda Tejares (Gran Capitán),,platform,,bus_stop,,,,,,,,,,,,-4.7832156,37.8873082
POINT (-4.7579555 37.8951353),Platero Pedro de Bares,,platform,,bus_stop,,,,,,,,,,,,-4.7579555,37.8951353
POINT (-4.7565757 37.8978798),Fátima (Arcos de la Frontera),,platform,,bus_stop,,,,,,,,,,,,-4.7565757,37.8978798
POINT (-4.7686018 37.8885337),San Lorenzo,,platform,,bus_stop,,,,,,,,,,,,-4.7686018,37.8885337
POINT (-4.7761823 37.8866921),Los Faroles,,,,,2,,,,,,,,Calle Alfaros,,,-4.7761823,37.8866921
POINT (-4.776224 37.8864399),Hotel Macià Alfaros,,,,,4,,,Macià Hoteles,,,,,Alfaros,18,,-4.776224,37.8864399
POINT (-4.766986 37.8848746),Puerta Nueva,,platform,,platform,,,,,,,,,,,,-4.766986,37.8848746
POINT (-4.7672168 37.8786042),,parking,,,,,,,,,,,,,,,-4.7672168,37.8786042
POINT (-4.7656278 37.8790127),,parking,,,,,,,,,,,,,,,-4.7656278,37.8790127
POINT (-4.7824321 37.892226),,parking,,,,,,,,,,,,,,,-4.7824321,37.892226
POINT (-4.7811427 37.876233),,,platform,,bus_stop,,,,,,,,,,,,-4.7811427,37.876233
POINT (-4.7748111 37.8800977),La Herradura,parking_space,,,,,,,,,,,,,,,-4.7748111,37.8800977
