geometry,name,amenity,public_transport,railway,highway,stars,internet_access,brand,operator,cuisine,rooms,opening_hours,wheelchair,addr:street,addr:housenumber,addr:postcode,lon,lat
POINT (-5.9025354 37.3851369),Torrelaguna (Torremejia),,platform,,bus_stop,,,,Tussam,,,,,,,,-5.9025354,37.3851369
POINT (-5.902537 37.3851767),Torrelaguna (Torremejia),,stop_position,,,,,,Tussam,,,,,,,,-5.902537,37.3851767
POINT (-5.9464646 37.4078547),,,platform,,,,,,,,,,,,,,-5.9464646,37.4078547
POINT (-5.9878549 37.3973538),,,platform,,bus_stop,,,,TUSSAM,,,,,,,,-5.9878549,37.3973538
POINT (-5.9588421 37.3863932),,,platform,,bus_stop,,,,,,,,,,,,-5.9588421,37.3863932
POINT (-5.9837632 37.3996241),Ronda de Capuchinos (San Julián),,platform,,,,,,Tussam,,,,yes,,,,-5.9837632,37.3996241
POINT (-5.982537 37.3955812),María Auxiliadora (Laborat. Municipal),,platform,,,,,,Tussam,,,,,,,,-5.982537,37.3955812
POINT (-5.9826303 37.3956236),María Auxiliadora (Laborat. Municipal),,stop_position,,,,,,Tussam,,,,,,,,-5.9826303,37.3956236
POINT (-5.9818239 37.3989177),Ronda de Capuchinos (Avenida Miraflores),,platform,,,,,,Tussam,,,,,,,,-5.9818239,37.3989177
POINT (-5.9819348 37.3988719),Ronda de Capuchinos (Avenida Miraflores),,stop_position,,,,,,Tussam,,,,,,,,-5.9819348,37.3988719
POINT (-5.9837166 37.3997016),Ronda de Capuchinos (San Julián),,stop_position,,,,,,Tussam,,,,,,,,-5.9837166,37.3997016
POINT (-5.9682425 37.4031301),Carretera Carmona (Alcalde Manuel del Valle),,platform,,bus_stop,,,,Tussam,,,,yes,,,,-5.9682425,37.4031301
POINT (-5.9682331 37.4030568),Carretera Carmona (Alcalde Manuel del Valle),,stop_position,,,,,,Tussam,,,,,,,,-5.9682331,37.4030568
POINT (-5.9834501 37.3939269),José Laguillo (Puerta Osario),,stop_position,,,,,,,,,,,,,,-5.9834501,37.3939269
POINT (-5.964446 37.4050456),Av. Asoc. de Vecinos (Parque Atlántico),,stop_position,,,,,,,,,,,,,,-5.964446,37.4050456
POINT (-5.9603509 37.3874584),Avenida de Andalucía (Los Arcos),,stop_position,,,,,,,,,,,,,,-5.9603509,37.3874584
POINT (-5.9586159 37.3880554),José M. Javierre (Los Arcos),,platform,,bus_stop,,,,,,,,,,,,-5.9586159,37.3880554
POINT (-5.9586873 37.3880584),José M. Javierre (Los Arcos),,stop_position,,,,,,,,,,,,,,-5.9586873,37.3880584
POINT (-5.9433308 37.4011695),Alcalde Luis Uruñuela (Las Gondolas),,platform,,bus_stop,,,,,,,,,,,,-5.9433308,37.4011695
POINT (-5.943386 37.4012116),Alcalde Luis Uruñuela (Las Gondolas),,stop_position,,,,,,,,,,,,,,-5.943386,37.4012116
POINT (-5.9432747 37.4015402),Alcalde Luis Uruñuela (Las Gondolas),,stop_position,,,,,,,,,,,,,,-5.9432747,37.4015402
POINT (-5.9433349 37.4015788),Alcalde Luis Uruñuela (Las Gondolas),,platform,,,,,,,,,,,,,,-5.9433349,37.4015788
POINT (-5.9418271 37.4024201),Alcalde Luis Uruñuela (Los Azores),,platform,,bus_stop,,,,,,,,,,,,-5.9418271,37.4024201
POINT (-5.951603 37.3941773),Montes Sierra (Santa Clara de Cuba),,stop_position,,,,,,,,,,,,,,-5.951603,37.3941773
POINT (-5.9516748 37.3942307),Montes Sierra (Santa Clara de Cuba),,platform,,bus_stop,,,,,,,,,,,,-5.9516748,37.3942307
POINT (-5.947199 37.3977912),Montes Sierra (SE-30),,stop_position,,,,,,,,,,,,,,-5.947199,37.3977912
POINT (-5.9472864 37.3978383),Montes Sierra (SE-30),,platform,,bus_stop,,,,,,,,,,,,-5.9472864,37.3978383
POINT (-5.9577354 37.390818),Montes Sierra (Avenida La Prensa),,platform,,bus_stop,,,,,,,,,,,,-5.9577354,37.390818
POINT (-5.957793 37.3909149),Montes Sierra (Avenida La Prensa),,stop_position,,,,,,,,,,,,,,-5.957793,37.3909149
POINT (-5.9575899 37.3910169),Montes Sierra (Tesalónica),,stop_position,,,,,,,,,,,,,,-5.9575899,37.3910169
POINT (-5.9576383 37.3910923),Montes Sierra (Tesalónica),,platform,,bus_stop,,,,,,,,,,,,-5.9576383,37.3910923
POINT (-5.9558128 37.3917981),Montes Sierra (Rafael Beca Mateos),,platform,,bus_stop,,,,,,,,,,,,-5.9558128,37.3917981
POINT (-5.9558798 37.391888),Montes Sierra (Rafael Beca Mateos),,stop_position,,,,,,,,,,,,,,-5.9558798,37.391888
POINT (-5.9552883 37.3921924),Montes Sierra (Rafael Beca Mateos),,stop_position,,,,,,,,,,,,,,-5.9552883,37.3921924
POINT (-5.9553578 37.3922617),Montes Sierra (Rafael Beca Mateos),,platform,,bus_stop,,,,,,,,,,,,-5.9553578,37.3922617
POINT (-5.9758399 37.3627996),Virgen del Rocío,,stop_position,stop,,,,,,,,,,,,,-5.9758399,37.3627996
POINT (-5.9865433 37.3558497),Glorieta Alcalde Parias Merry,,platform,,,,,,,,,,,,,,-5.9865433,37.3558497
POINT (-5.991653 37.3999583),Carrefour Express,,,,,,no,Carrefour Express,Carrefour,,,09:00-22:00,limited,Calle Feria,108,41003,-5.991653,37.3999583
POINT (-5.991555 37.3947533),Dulce Regina,cafe,,,,,no,,,cookies,,,,Calle Regina,15,41003,-5.991555,37.3947533
POINT (-6.000036 37.3867701),Irish Pub O'Neill's,pub,,,,,wlan,,,fish_and_chips,,,,,,,-6.000036,37.3867701
POINT (-5.9792746 37.3778867),B4,,platform,,,,,,TUSSAM,,,,,,,,-5.9792746,37.3778867
POINT (-5.9792438 37.3779599),,,stop_position,,,,,,,,,,,,,,-5.9792438,37.3779599
