geometry,name,amenity,public_transport,railway,highway,stars,internet_access,brand,operator,cuisine,rooms,opening_hours,wheelchair,addr:street,addr:housenumber,addr:postcode,lon,lat
POINT (-0.9228874 41.7039768),Centro de Visitantes,,stop_position,,,,,,Ayuntamiento de Zaragoza,,,,,,,,-0.9228874,41.7039768
POINT (-0.8794267 41.6322384),Terrazas de Cuéllar 4,,platform,,bus_stop,,,,,,,,yes,,,,-0.8794267,41.6322384
POINT (-0.8642066 41.662594),Avenida Cataluña / Plaza Mozart,,platform,,bus_stop,,,,,,,,,,,,-0.8642066,41.662594
POINT (-0.8677209 41.6376374),,parking,,,,,,,,,,,,,,,-0.8677209,41.6376374
POINT (-0.8913044 41.6421005),Mariano Barbasán 13,,stop_position,,,,,,,,,,,,,,-0.8913044,41.6421005
POINT (-0.8886952 41.6405153),Juan Pablo Bonet 23,,platform,,bus_stop,,,,,,,,yes,,,,-0.8886952,41.6405153
POINT (-0.8967356 41.6433208),Corona de Aragón 33,,platform,,bus_stop,,,,,,,,,,,,-0.8967356,41.6433208
POINT (-0.8935048 41.6415798),San Juan de la Cruz 2,,platform,,bus_stop,,,,,,,,yes,,,,-0.8935048,41.6415798
POINT (-0.8856718 41.6401764),Camino de Las Torres 116,,stop_position,,bus_stop,,,,,,,,,,,,-0.8856718,41.6401764
POINT (-0.8854864 41.6401906),Camino de las Torres 105,,stop_position,,bus_stop,,,,,,,,yes,,,,-0.8854864,41.6401906
POINT (-0.8680414 41.6329525),Zaragoza-Miraflores,,stop_position,stop,,,,,,,,,,,,,-0.8680414,41.6329525
POINT (-0.9102388 41.6516952),,,stop_position,,bus_stop,,,,,,,,,,,,-0.9102388,41.6516952
POINT (-0.9086722 41.6485747),,,stop_position,,bus_stop,,,,,,,,,,,,-0.9086722,41.6485747
POINT (-0.9070764 41.6450035),Vía Univérsitas 17,,platform,,bus_stop,,,,,,,,,,,,-0.9070764,41.6450035
POINT (-0.8970786 41.6374912),,,platform,,bus_stop,,,,,,,,,,,,-0.8970786,41.6374912
POINT (-0.889961 41.6335228),Vía Pignatelli 61,,stop_position,,,,,,,,,,,,,,-0.889961,41.6335228
