geometry,name,amenity,public_transport,railway,highway,stars,internet_access,brand,operator,cuisine,rooms,opening_hours,wheelchair,addr:street,addr:housenumber,addr:postcode,lon,lat
POINT (-0.3288059 39.4681149),Reina - Columbretes,,platform,,bus_stop,,,,Empresa Municipal de Transportes de Valencia,,,,,,,,-0.3288059,39.4681149
POINT (-0.3303754 39.4557546),Manuel Soto Enginyer - Comandància Marina,,platform,,bus_stop,,,,Empresa Municipal de Transportes de Valencia,,,,,,,,-0.3303754,39.4557546
POINT (-0.3322737 39.4583399),Manuel Soto Enginyer - Estació,,platform,,bus_stop,,,,Empresa Municipal de Transportes de Valencia,,,,,,,,-0.3322737,39.4583399
POINT (-0.3336758 39.4519733),Major de Natzaret - Vilanova i Piera,,platform,,bus_stop,,,,Empresa Municipal de Transportes de Valencia,,,,,,,,-0.3336758,39.4519733
POINT (-0.3306676 39.4544964),Pont de les Drassanes,,platform,,bus_stop,,,,Empresa Municipal de Transportes de Valencia,,,,,,,,-0.3306676,39.4544964
POINT (-0.3346362 39.4485282),Major de Natzaret - Castell de Pop,,platform,,bus_stop,,,,Empresa Municipal de Transportes de Valencia,,,,,,,,-0.3346362,39.4485282
POINT (-0.3341562 39.4502373),Mercat de Natzaret,,platform,,bus_stop,,,,Empresa Municipal de Transportes de Valencia,,,,,,,,-0.3341562,39.4502373
POINT (-0.3936647 39.4808639),Vall de la Ballestera - Campanar,,platform,,bus_stop,,,,Empresa Municipal de Transportes de Valencia,,,,,,,,-0.3936647,39.4808639
POINT (-0.3330302 39.4486455),Aras de los Olmos - Castell de Pop,,platform,,bus_stop,,,,Empresa Municipal de Transportes de Valencia,,,,,,,,-0.3330302,39.4486455
POINT (-0.3351943 39.4448201),Punta al Mar - Camí Canal,,platform,,bus_stop,,,,Empresa Municipal de Transportes de Valencia,,,,,,,,-0.3351943,39.4448201
POINT (-0.3256563 39.4725695),Eugenia Viñes - Camps,,platform,,bus_stop,,,,Empresa Municipal de Transportes de Valencia,,,,,,,,-0.3256563,39.4725695
POINT (-0.3256733 39.4695889),Platja Les Arenes,,platform,,bus_stop,,,,Empresa Municipal de Transportes de Valencia,,,,,,,,-0.3256733,39.4695889
POINT (-0.3325133 39.4504079),Poliesportiu Natzaret - Moraira,,platform,,bus_stop,,,,Empresa Municipal de Transportes de Valencia,,,,,,,,-0.3325133,39.4504079
