geometry,name,shop,amenity,tourism,healthcare,office,leisure,addr:street,addr:housenumber,addr:postcode,brand,operator,cuisine,lon,lat,lon_rnd,lat_rnd,name_norm,madrid_hdbscan_5_5
POINT (-3.708581 40.3702241),Ferretería Rufo,hardware,,,,,,Calle Gran Avenida,17 posterior,28041,,,,-3.708581,40.3702241,-412839,4494013,ferretería rufo,113
POINT (-3.7117659 40.4057042),Banco Santander,,bank,,,,,,,,Banco Santander,Santander,,-3.7117659,40.4057042,-413194,4497963,banco santander,973
POINT (-3.7662924 40.388533),Arca Interiorismo,interior_decoration,,,,,,,,,,,,-3.7662924,40.388533,-419264,4496051,arca interiorismo,234
POINT (-3.7652844 40.3891445),Arevalillo Cristales,hardware,,,,,,,,,,,,-3.7652844,40.3891445,-419151,4496120,arevalillo cristales,234
POINT (-3.7662054 40.3882418),Boutique del Pan,bakery,,,,,,,,,,,,-3.7662054,40.3882418,-419254,4496019,boutique del pan,234
POINT (-3.7664455 40.3890041),Cafetería Guareña,,cafe,,,,,Calle de Guareña,2,,,,,-3.7664455,40.3890041,-419281,4496104,cafetería guareña,234
POINT (-3.7655525 40.3879137),El Duero,,restaurant,,,,,,,,,,,-3.7655525,40.3879137,-419181,4495983,el duero,234
POINT (-3.7662737 40.3884486),Ferretería,hardware,,,,,,,,,,,,-3.7662737,40.3884486,-419262,4496042,ferretería,234
POINT (-3.7662382 40.388345),La Librería Alejandría,,restaurant,,,,,,,,,,,-3.7662382,40.388345,-419258,4496031,la librería alejandría,234
POINT (-3.7663452 40.3887529),Librería El Principito,books,,,,,,,,,,,,-3.7663452,40.3887529,-419270,4496076,librería el principito,234
POINT (-3.7665001 40.3891602),Marco Aldany,hairdresser,,,,,,,,,Marco Aldany,,,-3.7665001,40.3891602,-419287,4496121,marco aldany,234
POINT (-3.766043 40.3897867),Materiales de Construcción Sebastián Álvaro,hardware,,,,,,,,,,,,-3.766043,40.3897867,-419236,4496191,materiales de construcción sebastián álvaro,234
POINT (-3.7663974 40.3888824),Radiante Oriental,,restaurant,,,,,,,,,,chinese,-3.7663974,40.3888824,-419275,4496090,radiante oriental,234
POINT (-3.7656725 40.3894669),Sadeco,car_parts,,,,,,,,,,,,-3.7656725,40.3894669,-419195,4496155,sadeco,234
POINT (-3.7661751 40.3881577),,tobacco,,,,,,,,,,,,-3.7661751,40.3881577,-419251,4496010,,234
POINT (-3.7657113 40.3883893),The Green Corner,,pub,,,,,,,,,,,-3.7657113,40.3883893,-419199,4496035,the green corner,234
POINT (-3.7663267 40.3886507),Trattoria di Aluche,,restaurant,,,,,,,,,,italian;pizza,-3.7663267,40.3886507,-419267,4496065,trattoria di aluche,234
POINT (-3.7655243 40.3878357),Viagea,travel_agency,,,,,,,,,,,,-3.7655243,40.3878357,-419178,4495974,viagea,234
POINT (-3.6190058 40.3979249),DreamFit,,,,,,sports_centre,Bulevar José Prat,35,28032,,,,-3.6190058,40.3979249,-402868,4497097,dreamfit,283
POINT (-3.6206469 40.4013283),El Chaflán del Bulevar,,restaurant,,,,,Bulevar de Indalecio Prieto,17,28032,,,,-3.6206469,40.4013283,-403050,4497476,el chaflán del bulevar,283
POINT (-3.621316 40.4014756),Taberna de la Chana,,restaurant,,,,,Bulevar de Indalecio Prieto,18,28032,,,,-3.621316,40.4014756,-403125,4497492,taberna de la chana,283
POINT (-3.7735805 40.3984881),Botas,,cafe,,,,,,,,,,,-3.7735805,40.3984881,-420075,4497160,botas,232
POINT (-3.7110089 40.4063078),,supermarket,,,,,,,,,,,,-3.7110089,40.4063078,-413110,4498030,,973
POINT (-3.7109738 40.4063416),El Pescador,,cafe,,,,,,,,,,,-3.7109738,40.4063416,-413106,4498034,el pescador,973
POINT (-3.7045302 40.4790529),Óptica Roma,optician,,,,,,Avenida de Monforte de Lemos,99,28029,,,,-3.7045302,40.4790529,-412388,4506128,óptica roma,473
POINT (-3.7087488 40.4031548),gafas.es,optician,,,,,,,,,,,,-3.7087488,40.4031548,-412858,4497679,gafas.es,974
POINT (-3.708924 40.4030888),,vacant,,,,,,,,,Jean Louis David,,,-3.708924,40.4030888,-412877,4497672,,974
POINT (-3.7087729 40.4027131),Dideco,toys,,,,,,,,,,,,-3.7087729,40.4027131,-412861,4497630,dideco,974
POINT (-3.7121741 40.4062361),Puerta De Toledo,,cafe,,,,,,,,,,,-3.7121741,40.4062361,-413239,4498022,puerta de toledo,973
POINT (-3.7110459 40.406155),Mantequería Andrés,convenience,,,,,,,,,,,,-3.7110459,40.406155,-413114,4498013,mantequería andrés,973
POINT (-3.7113974 40.4060918),,,restaurant,,,,,Glorieta Puerta de Toledo,3,28005,,,,-3.7113974,40.4060918,-413153,4498006,,973
