geometry,name,shop,amenity,tourism,healthcare,office,leisure,addr:street,addr:housenumber,addr:postcode,brand,operator,cuisine,lon,lat,lon_rnd,lat_rnd,name_norm,madrid_hdbscan_5_5
POINT (-3.7209172 40.429718),ClinEnc,,clinic,,clinic,,,Calle de Ferraz,51,28008,,,,-3.7209172,40.429718,-414213,4500636,clinenc,993
POINT (-3.7208065 40.4296047),,yes,,,,,,Calle de Ferraz,49,28008,,,,-3.7208065,40.4296047,-414200,4500624,,993
POINT (-3.7207428 40.4295395),La Oriental,bakery,,,,,,Calle de Ferraz,47,28008,,,,-3.7207428,40.4295395,-414193,4500616,la oriental,993
POINT (-3.7206958 40.4294912),Paco,hairdresser,,,,,,Calle de Ferraz,47,28008,,,,-3.7206958,40.4294912,-414188,4500611,paco,993
POINT (-3.7206595 40.4294539),Flores Loto,florist,,,,,,Calle de Ferraz,47,28008,,,,-3.7206595,40.4294539,-414184,4500607,flores loto,993
POINT (-3.7209972 40.4292594),Fisiorosales,,,,physiotherapist,,,Calle del Marqués de Urquijo,40,28008,,,,-3.7209972,40.4292594,-414221,4500585,fisiorosales,993
POINT (-3.7207368 40.4293442),Bistro Urquijo,,restaurant,,,,,Calle del Marqués de Urquijo,38,28008,,,,-3.7207368,40.4293442,-414192,4500595,bistro urquijo,993
POINT (-3.7206079 40.4290918),Motor Sport,motorcycle,,,,,,Calle del Marqués de Urquijo,43,28008,Honda,,,-3.7206079,40.4290918,-414178,4500566,motor sport,993
POINT (-3.7019919 40.4199293),,,post_box,,,,,,,,,,,-3.7019919,40.4199293,-412106,4499547,,1157
POINT (-3.7102396 40.4122639),El Zapatero,,bar,,,,,Calle del Almendro,19,28005,,,,-3.7102396,40.4122639,-413024,4498693,el zapatero,1179
POINT (-3.6965717 40.4109311),Mia Mia,clothes,,,,,,,,,,,,-3.6965717,40.4109311,-411502,4498545,mia mia,1132
POINT (-3.7091997 40.4781117),Curry House,,restaurant,,,,,Avenida de Monforte de Lemos,119,28029,,,indian,-3.7091997,40.4781117,-412908,4506023,curry house,468
POINT (-3.7092421 40.4123226),La Perejila,,restaurant,,,,,Calle de la Cava Baja,25,28005,,,,-3.7092421,40.4123226,-412913,4498700,la perejila,1179
POINT (-3.7096742 40.4120917),Casa Lucio,,restaurant,,,,,Calle de la Cava Baja,35,28005,,,,-3.7096742,40.4120917,-412961,4498674,casa lucio,1179
POINT (-3.6892025 40.385508),Rogelaine Imagen - Centro de belleza,hairdresser,,,,,,Calle de Embajadores,274,28045,,,,-3.6892025,40.385508,-410682,4495715,rogelaine imagen - centro de belleza,299
POINT (-3.708395 40.432713),Carlos Jiménez,hairdresser,,,,,,Calle de Arapiles,21,28015,,,,-3.708395,40.432713,-412819,4500970,carlos jiménez,968
POINT (-3.6990655 40.4151965),,convenience,,,,,,Calle de Manuel Fernández y González,17,28014,,,,-3.6990655,40.4151965,-411780,4499020,,1214
POINT (-3.7106185 40.4125627),Sie7e,,bar,,,,,Costanilla de San Pedro,7,28005,,,,-3.7106185,40.4125627,-413066,4498726,sie7e,1179
POINT (-3.7106223 40.412531),Antra,,bar,,,,,Costanilla de San Pedro,,28005,,,,-3.7106223,40.412531,-413066,4498723,antra,1179
POINT (-3.7106608 40.4124113),La Tasca Latina,,bar,,,,,Costanilla de San Pedro,,28005,,,,-3.7106608,40.4124113,-413071,4498710,la tasca latina,1179
POINT (-3.7106655 40.4123223),Berlin Cabaret,,music_venue,,,,,Costanilla de San Pedro,11,28005,,,,-3.7106655,40.4123223,-413071,4498700,berlin cabaret,1179
POINT (-3.7103175 40.4119272),Hopper,,bar,,,,,Calle de la Cava Baja,40,28005,,,,-3.7103175,40.4119272,-413033,4498656,hopper,1179
POINT (-3.7101129 40.4120145),Taberna Tempranillo,,bar,,,,,Calle de la Cava Baja,38,28005,,,,-3.7101129,40.4120145,-413010,4498665,taberna tempranillo,1179
POINT (-3.7098487 40.412127),En Ca' Amalia,,restaurant,,,,,Calle de la Cava Baja,34,28005,,,,-3.7098487,40.412127,-412980,4498678,en ca' amalia,1179
POINT (-3.7097587 40.4121746),Taberna de los Castizos,,restaurant,,,,,Calle de la Cava Baja,34,28005,,,,-3.7097587,40.4121746,-412970,4498683,taberna de los castizos,1179
POINT (-3.7092245 40.4124542),Casa Victor,,restaurant,,,,,Calle de la Cava Baja,26,28005,,"TopGunYTapas S,L",spanish,-3.7092245,40.4124542,-412911,4498714,casa victor,1179
POINT (-3.7090421 40.412577),La Chata,,restaurant,,,,,Calle de la Cava Baja,24,28005,,,regional,-3.7090421,40.412577,-412891,4498728,la chata,1179
POINT (-3.7103203 40.4122223),J&J,,bar,,,,,Calle del Almendro,19,28005,,,,-3.7103203,40.4122223,-413033,4498689,j&j,1179
POINT (-3.7103886 40.4121743),Gor2.0,,bar,,,,,Calle del Almendro,21,28005,,,,-3.7103886,40.4121743,-413040,4498683,gor2.0,1179
POINT (-3.7106862 40.4119982),Que trabaje Rita,,bar,,,,,Calle del Almendro,27,28005,,,,-3.7106862,40.4119982,-413074,4498664,que trabaje rita,1179
POINT (-3.6946825 40.4238352),Ambigú,,bar,,,,,Plaza de las Salesas,8,28004,,,,-3.6946825,40.4238352,-411292,4499981,ambigú,1091
POINT (-3.6945757 40.4238116),Pippa's,gift,,,,,,Plaza de las Salesas,8,28004,,,,-3.6945757,40.4238116,-411280,4499979,pippa's,1091
POINT (-3.7094416 40.4120082),Kiki Market,food,,,,,,Calle de la Cava Alta,21,28005,,,,-3.7094416,40.4120082,-412935,4498665,kiki market,1179
POINT (-3.7076144 40.4296219),Tea Shop,tea,,,,,,Calle de Alberto Aguilera,3,28015,Tea Shop,,,-3.7076144,40.4296219,-412732,4500626,tea shop,1102
POINT (-3.6989964 40.415142),,vacant,,,,,,Calle de Manuel Fernández y González,10,28014,,,,-3.6989964,40.415142,-411772,4499014,,1214
POINT (-3.6991318 40.4151461),,vacant,,,,,,Calle de Manuel Fernández y González,10,28014,,,,-3.6991318,40.4151461,-411787,4499014,,1214
POINT (-3.6955933 40.421646),extensión,hairdresser,,,,,,Calle del Barquillo,18,28004,,,,-3.6955933,40.421646,-411393,4499738,extensión,1183
POINT (-3.7535532 40.4046499),Espacio B,,community_centre,,,,,Paseo de Extremadura,256,,,,,-3.7535532,40.4046499,-417846,4497846,espacio b,457
POINT (-3.6971705 40.4258191),Makkila,,restaurant,,,,,Calle de Fernando VI,2,28004,,,,-3.6971705,40.4258191,-411569,4500202,makkila,1087
POINT (-3.6967788 40.4260767),Villa Capri,,restaurant,,,,,Calle de Hortaleza,118,28004,,,,-3.6967788,40.4260767,-411525,4500231,villa capri,1087
POINT (-3.6946152 40.4257967),La Flor del Pan,bakery,,,,,,Calle de Argensola,17,28004,,,,-3.6946152,40.4257967,-411285,4500200,la flor del pan,1099
POINT (-3.7103492 40.3463871),La Jaula,supermarket,,,,,,Paseo de Alberto Palacios,,,,,,-3.7103492,40.3463871,-413036,4491360,la jaula,131
POINT (-3.6969584 40.4257114),Pastelería La Duquesita,,cafe,,,,,Calle de Fernando VI,2,28004,,,,-3.6969584,40.4257114,-411545,4500190,pastelería la duquesita,1087
POINT (-3.6964271 40.4226186),Lola & Co,,restaurant,,,,,Calle de Gravina,18,28004,,,,-3.6964271,40.4226186,-411486,4499846,lola & co,1183
POINT (-3.696217 40.4226687),El Inca,,restaurant,,,,,Calle de Gravina,23,28004,,,peruvian,-3.696217,40.4226687,-411463,4499851,el inca,1183
POINT (-3.7083095 40.4778139),Moda Tres,interior_decoration,,,,,,,,,,,,-3.7083095,40.4778139,-412809,4505990,moda tres,468
POINT (-3.7126447 40.4732133),Pan y Miga,bakery,,,,,,,,,,,,-3.7126447,40.4732133,-413292,4505478,pan y miga,449
