geometry,name,shop,amenity,tourism,healthcare,office,leisure,addr:street,addr:housenumber,addr:postcode,brand,operator,cuisine,lon,lat,hdbscan_5_5,hdbscan_5_5_merged,hdbscan_5_5_merged
POINT (-3.695567 40.4125053),Alimentación Mantequería,convenience,,,,,,Calle de Fúcar,1,,,,,-3.695567,40.4125053,1104,911,911
POINT (-3.6956871 40.412496),La Tabernita de San Juan,,pub,,,,,,,,,,,-3.6956871,40.412496,1104,911,911
POINT (-3.6961583 40.4124453),Fever,,bar,,,,,,,,,,,-3.6961583,40.4124453,1104,911,911
POINT (-3.6963071 40.412427),Arrocería Gala,,restaurant,,,,,,,,,,,-3.6963071,40.412427,1104,911,911
POINT (-3.6943165 40.4127079),La Platería,,pub,,,,,Calle de Moratín,49,28014,,,,-3.6943165,40.4127079,-1,-1,-1
POINT (-3.6938445 40.4126615),,kiosk,,,,,,,,,,,,-3.6938445,40.4126615,1072,904,904
POINT (-3.6939658 40.4122937),El Fogón Verde,,restaurant,,,,,Calle de la Alameda,4,28014,,,spanish,-3.6939658,40.4122937,1072,904,904
POINT (-3.6943236 40.4114334),Hotel México,,,hotel,,,,,,,,,,-3.6943236,40.4114334,-1,-1,-1
POINT (-3.6947372 40.4110206),Chinos,supermarket,,,,,,,,,,,,-3.6947372,40.4110206,1141,28,28
POINT (-3.6933431 40.4108079),,music,,,,,,,,,,,,-3.6933431,40.4108079,-1,-1,-1
POINT (-3.695685 40.4128038),La Hidria,,bar,,,,,,,,,,,-3.695685,40.4128038,1104,911,911
POINT (-3.6956873 40.4129838),La Esquina,,bar,,,,,,,,,,,-3.6956873,40.4129838,1104,911,911
POINT (-3.6951865 40.4125537),Moratin 40,,restaurant,,,,,Calle de Moratín,40,28014,,,,-3.6951865,40.4125537,1104,911,911
POINT (-3.6949558 40.4125743),,vacant,,,,,,Calle de Moratín,42,,,,,-3.6949558,40.4125743,1104,911,911
POINT (-3.6953428 40.4129173),Dia,supermarket,,,,,,Calle de las Huertas,,,Dia,DIA,,-3.6953428,40.4129173,1104,911,911
POINT (-3.6957012 40.413178),El Diario,,bar,,,,,Calle de las Huertas,69,28014,,,,-3.6957012,40.413178,1104,911,911
POINT (-3.6956999 40.4136254),La Fábrica,,bar,,,,,Calle de Jesús,2,28014,,,,-3.6956999,40.4136254,1104,911,911
POINT (-3.6957073 40.4135119),Los Gatos,,bar,,,,,,,,,,,-3.6957073,40.4135119,1104,911,911
POINT (-3.695701 40.4133633),La Anchoíta,,bar,,,,,,,,,,,-3.695701,40.4133633,1104,911,911
POINT (-3.6957085 40.4134319),El Rábano,,restaurant,,,,,,,,,,,-3.6957085,40.4134319,1104,911,911
POINT (-3.6954498 40.4136017),,,post_box,,,,,,,,Correos,Correos,,-3.6954498,40.4136017,1104,911,911
POINT (-3.6960696 40.4136237),Terra Mundi,,restaurant,,,,,Calle de Lope de Vega,32,28014,,,regional,-3.6960696,40.4136237,1104,911,911
POINT (-3.6957781 40.4137383),Taberna de la Dolores,,pub,,,,,Plaza de Jesús,4,28014,,,,-3.6957781,40.4137383,1104,911,911
