geometry,name,shop,amenity,tourism,healthcare,office,leisure,addr:street,addr:housenumber,addr:postcode,brand,operator,cuisine,lon,lat,lon_rnd,lat_rnd,name_norm,Murcia_hdbscan_5_5
POINT (-1.1232547002256075 37.9702932340507),,,,,,,park,,,,,,,-1.1232547002256075,37.9702932340507,-125041,4226853,,-1
POINT (-1.1238854857429552 37.970716107734305),,,,,,,park,,,,,,,-1.1238854857429552,37.970716107734305,-125111,4226900,,72
POINT (-1.0719061647944257 37.978119807134306),,,,,,,park,,,,,,,-1.0719061647944257,37.978119807134306,-119325,4227724,,23
POINT (-1.0707211925535358 37.97690305931539),,,,,,,park,,,,,,,-1.0707211925535358,37.97690305931539,-119193,4227589,,23
POINT (-1.0724881336804986 37.97971090473879),,,,,,,park,,,,,,,-1.0724881336804986,37.97971090473879,-119389,4227901,,23
POINT (-1.0756055392290844 37.97497312025154),Colegio de Educación Infantil y Primaria Nuestra Señora de la Fuensanta,,school,,,,,Calle Juan Peregrin Tomas,10,30570.0,,,,-1.0756055392290844,37.97497312025154,-119736,4227374,colegio de educación infantil y primaria nuestra señora de la fuensanta,23
POINT (-1.1604484855183685 38.00998983260083),Parque del Calvario,,,,,,park,,,,,,,-1.1604484855183685,38.00998983260083,-129181,4231272,parque del calvario,63
POINT (-1.2249598626227554 37.963981943316085),Cardona & Gabino,car,,,,,,,,,,,,-1.2249598626227554,37.963981943316085,-136363,4226150,cardona & gabino,9
POINT (-1.2248817973811472 37.96383983511742),Inter Bazar,variety_store,,,,,,,,,,,,-1.2248817973811472,37.96383983511742,-136354,4226135,inter bazar,9
POINT (-1.2248057189123482 37.96366216653991),Zapping Cafeteria-Bolera,,cafe,,,,,,,,,,,-1.2248057189123482,37.96366216653991,-136345,4226115,zapping cafeteria-bolera,9
POINT (-1.2247229651207026 37.96347778973881),Bicifran,bicycle,,,,,,Calle Velázquez,6,30835.0,,,,-1.2247229651207026,37.96347778973881,-136336,4226094,bicifran,9
POINT (-1.2246695847062898 37.96327787604184),Asensio Motor S.L,car,,,,,,,,,,,,-1.2246695847062898,37.96327787604184,-136330,4226072,asensio motor s.l,9
POINT (-1.226478066450657 37.96478809533872),Parque de los abetos,,,,,,park,,,,,,,-1.226478066450657,37.96478809533872,-136532,4226240,parque de los abetos,9
POINT (-1.1343119776111266 37.99486806234077),,,,,,,park,,,,,,,-1.1343119776111266,37.99486806234077,-126272,4229589,,85
POINT (-1.134816197356239 37.99492755012153),,,,,,,park,,,,,,,-1.134816197356239,37.99492755012153,-126328,4229595,,85
POINT (-1.1351160065229857 37.9951762060036),,,,,,,park,,,,,,,-1.1351160065229857,37.9951762060036,-126361,4229623,,85
