geometry,name,shop,amenity,tourism,healthcare,office,leisure,addr:street,addr:housenumber,addr:postcode,brand,operator,cuisine,lon,lat,lon_rnd,lat_rnd,name_norm,Zaragoza_hdbscan_5_5
POINT (-0.9211792 41.6489928),Café Cinco Villas,,cafe,,,,,Calle de Mosén Jose Bosqued,6,50011.0,,,,-0.9211792,41.6489928,-102546,4636366,café cinco villas,99
POINT (-0.9211618 41.6489497),Café Lisboa,,cafe,,,,,Calle de Mosén Jose Bosqued,6,50011.0,,,,-0.9211618,41.6489497,-102544,4636361,café lisboa,99
POINT (-0.9212329 41.6489086),Caja Rural de Aragón,,bank,,,,,Calle de Alejandro Oliván,6,50011.0,Caja Rural de Aragón,,,-0.9212329,41.6489086,-102552,4636357,caja rural de aragón,99
POINT (-0.9209129 41.6487667),Vet Corner,,veterinary,,,,,Calle de Mosén Jose Bosqued,4,50011.0,,,,-0.9209129,41.6487667,-102516,4636341,vet corner,99
POINT (-0.9142128 41.6461598),Bar Futbolín,,pub,,,,,,,,,,,-0.9142128,41.6461598,-101770,4636051,bar futbolín,136
POINT (-0.9140438 41.6465271),Bar Panamá,,cafe,,,,,,,,,,,-0.9140438,41.6465271,-101751,4636091,bar panamá,136
POINT (-0.9139205 41.6466153),Trofeos Vanesport,frame,,,,,,,,,,,,-0.9139205,41.6466153,-101738,4636101,trofeos vanesport,136
POINT (-0.9136422 41.6480307),Frutería El Central,greengrocer,,,,,,,,,,,,-0.9136422,41.6480307,-101707,4636259,frutería el central,168
POINT (-0.9143785 41.6499107),Caixabank,,bank,,,,,Calle de Mosén Andrés Vicente,12,,Caixabank,,,-0.9143785,41.6499107,-101789,4636468,caixabank,168
POINT (-0.9144308 41.6500901),LGV Decoración,interior_decoration,,,,,,,,,,,,-0.9144308,41.6500901,-101794,4636488,lgv decoración,168
POINT (-0.9146541 41.6512449),Atmósfera Sport,sports,,,,,,Avenida de Madrid,176,,,,,-0.9146541,41.6512449,-101819,4636617,atmósfera sport,-1
POINT (-0.9148062 41.6512161),Clínica Dental Aida Pellejero,,dentist,,,,,Avenida de Madrid,176,,,,,-0.9148062,41.6512161,-101836,4636613,clínica dental aida pellejero,-1
POINT (-0.9153775 41.6510611),La Princesa,beauty,,,,,,Avenida de Madrid,202,50017.0,,,,-0.9153775,41.6510611,-101900,4636596,la princesa,167
POINT (-0.9154607 41.6510461),Cafetería Lingotes,,cafe,,,,,Avenida de Madrid,202,50017.0,,,,-0.9154607,41.6510461,-101909,4636594,cafetería lingotes,167
POINT (-0.9157944 41.6509755),Ova Estilistas,hairdresser,,,,,,Avenida de Madrid,204,50017.0,,,,-0.9157944,41.6509755,-101946,4636587,ova estilistas,167
POINT (-0.9159851 41.6509469),Banco Santander,,bank,,,,,Avenida de Madrid,206,50017.0,Banco Santander,,,-0.9159851,41.6509469,-101967,4636583,banco santander,167
POINT (-0.915902 41.6511664),Radiadores Ordóñez,car_parts,,,,,,Calle de Viriato,2,50017.0,,,,-0.915902,41.6511664,-101958,4636608,radiadores ordóñez,-1
POINT (-0.9159663 41.6516033),Montse Navarro,hairdresser,,,,,,Calle de Julián Sanz Ibáñez,49,,,,,-0.9159663,41.6516033,-101965,4636656,montse navarro,-1
POINT (-0.9162319 41.6515091),DGH Nutrición,sports,,,,,,Calle de Julián Sanz Ibáñez,51,,,,,-0.9162319,41.6515091,-101995,4636646,dgh nutrición,-1
POINT (-0.916382 41.65148),Frutas y Verduras Isabel,greengrocer,,,,,,Calle de Julián Sanz Ibáñez,51,,,,,-0.916382,41.65148,-102012,4636643,frutas y verduras isabel,165
POINT (-0.9166275 41.6514399),Herboristería Los 5 Continentes,herbalist,,,,,,Calle de Julián Sanz Ibáñez,53,,,,,-0.9166275,41.6514399,-102039,4636638,herboristería los 5 continentes,165
POINT (-0.9166731 41.6514269),Jamones El Abuelo,butcher,,,,,,Calle de Julián Sanz Ibáñez,53,,,,,-0.9166731,41.6514269,-102044,4636637,jamones el abuelo,165
POINT (-0.916712 41.6514109),Floristería Beaflor,florist,,,,,,Calle de Julián Sanz Ibáñez,53,,,,,-0.916712,41.6514109,-102048,4636635,floristería beaflor,165
POINT (-0.9167764 41.6513938),Caixabank,,bank,,,,,Calle de Julián Sanz Ibáñez,53,,Caixabank,,,-0.9167764,41.6513938,-102056,4636633,caixabank,165
POINT (-0.9168729 41.6513828),Lidia Fortea,hairdresser,,,,,,Calle de Julián Sanz Ibáñez,53,,,,,-0.9168729,41.6513828,-102066,4636632,lidia fortea,165
POINT (-0.9170298 41.6513417),Iris Blanco,,restaurant,,,,,Calle de Julián Sanz Ibáñez,53,,,,,-0.9170298,41.6513417,-102084,4636627,iris blanco,165
POINT (-0.9173382 41.6512693),El Rincón del Bacalao,,restaurant,,,,,Calle de Julián Sanz Ibáñez,55,,,,,-0.9173382,41.6512693,-102118,4636619,el rincón del bacalao,-1
POINT (-0.9176843 41.6511904),Cafetería Hermanos Larraga,,cafe,,,,,Calle de Julián Sanz Ibáñez,57,,,,,-0.9176843,41.6511904,-102157,4636611,cafetería hermanos larraga,144
POINT (-0.9178519 41.6511644),Streamline,,school,,,,,Calle de Julián Sanz Ibáñez,59,,,,,-0.9178519,41.6511644,-102175,4636608,streamline,144
POINT (-0.9179485 41.6511313),Clínica Veterinaria La Milagrosa,,veterinary,,,,,Calle de Julián Sanz Ibáñez,59,,,,,-0.9179485,41.6511313,-102186,4636604,clínica veterinaria la milagrosa,144
POINT (-0.9180038 41.6517846),Thinking Factory,copyshop,,,,,,Calle de Julián Sanz Ibáñez,64,,,,,-0.9180038,41.6517846,-102192,4636677,thinking factory,-1
POINT (-0.9195592 41.6516163),Peluquería Hakim,hairdresser,,,,,,Calle de Alfredo Nobel,6,,,,,-0.9195592,41.6516163,-102365,4636658,peluquería hakim,-1
POINT (-0.9205556 41.6515612),Andrés Ferrando,hairdresser,,,,,,,,,,,,-0.9205556,41.6515612,-102476,4636652,andrés ferrando,-1
POINT (-0.9213468 41.6517556),Pisos Oliver,,,,,estate_agent,,,,,,,,-0.9213468,41.6517556,-102564,4636673,pisos oliver,108
POINT (-0.9212624 41.6521764),Bar Monasterio,,cafe,,,,,Calle del Monasterio de Piedra,3,50011.0,,,,-0.9212624,41.6521764,-102555,4636720,bar monasterio,108
POINT (-0.921379 41.6521113),Loterías y Apuestas del Estado,lottery,,,,,,Calle del Monasterio de Piedra,1,50011.0,Loterías y Apuestas del Estado,,,-0.921379,41.6521113,-102568,4636713,loterías y apuestas del estado,108
POINT (-0.9214595 41.6520562),La Taberna,,cafe,,,,,Calle del Monasterio de Piedra,1,50011.0,,,,-0.9214595,41.6520562,-102577,4636707,la taberna,108
POINT (-0.9214877 41.6523257),Corto y Cambio,hairdresser,,,,,,Calle de Emilio Ostale Tudela,5,50011.0,,,,-0.9214877,41.6523257,-102580,4636737,corto y cambio,108
POINT (-0.9218927 41.6522987),Joyería Domar,jewelry,,,,,,Calle de Constantino Gómez de Segura,1,50011.0,,,,-0.9218927,41.6522987,-102625,4636734,joyería domar,108
POINT (-0.9222333 41.6520261),Cafetería Jaser,,cafe,,,,,Calle de Antonio de Leyva,,50011.0,,,,-0.9222333,41.6520261,-102663,4636704,cafetería jaser,108
POINT (-0.9227698 41.651963),Fincas Oliver,,,,,estate_agent,,Calle de Antonio de Leyva,,50011.0,,,,-0.9227698,41.651963,-102723,4636697,fincas oliver,-1
POINT (-0.9055942 41.6393768),Bar Parque de los Príncipes,,cafe,,,,,Calle de los Condes de Aragón,12,,,,,-0.9055942,41.6393768,-100811,4635295,bar parque de los príncipes,-1
POINT (-0.9062661 41.6383034),Frutas y Verduras Diego,greengrocer,,,,,,Avenida Juan Carlos I de Borbón,61,,,,,-0.9062661,41.6383034,-100886,4635176,frutas y verduras diego,127
POINT (-0.9063278 41.6382613),La Terraza,,cafe,,,,,Avenida Juan Carlos I de Borbón,61,,,,,-0.9063278,41.6382613,-100892,4635171,la terraza,127
POINT (-0.906592 41.6381621),Audimos,yes,,,,,,Avenida Juan Carlos I de Borbón,59,,,,,-0.906592,41.6381621,-100922,4635160,audimos,127
POINT (-0.9069689 41.6381861),Perfum,hairdresser,,,,,,Avenida Juan Carlos I de Borbón,57,,,,,-0.9069689,41.6381861,-100964,4635163,perfum,127
POINT (-0.9070145 41.6382172),Grupo Romareda Asesores,,,,,company,,Avenida Juan Carlos I de Borbón,57,,,,,-0.9070145,41.6382172,-100969,4635166,grupo romareda asesores,127
POINT (-0.9074664 41.6386061),Centro Óptico Marqués,,restaurant,,,,,Avenida Juan Carlos I de Borbón,53,,,,,-0.9074664,41.6386061,-101019,4635210,centro óptico marqués,127
POINT (-0.9076153 41.6387664),Vogel,,restaurant,,,,,Avenida Juan Carlos I de Borbón,53,,,,,-0.9076153,41.6387664,-101036,4635227,vogel,-1
POINT (-0.9081195 41.6402117),Voga,hairdresser,,,,,,,,,,,,-0.9081195,41.6402117,-101092,4635388,voga,130
POINT (-0.9083274 41.6405114),Estanco 65,,restaurant,,,,,Avenida Juan Carlos I de Borbón,37,,,,,-0.9083274,41.6405114,-101115,4635422,estanco 65,130
POINT (-0.908003 41.6398896),Caixabank,,bank,,,,,,,,Caixabank,,,-0.908003,41.6398896,-101079,4635353,caixabank,130
POINT (-0.9080538 41.6399641),El Rincón,confectionery,,,,,,,,,El Rincón,,,-0.9080538,41.6399641,-101085,4635361,el rincón,130
POINT (-0.9083891 41.6406146),Casa Lucía,,restaurant,,,,,Avenida Juan Carlos I de Borbón,37,,,,,-0.9083891,41.6406146,-101122,4635433,casa lucía,130
POINT (-0.9085259 41.6408311),Frutas Cester,greengrocer,,,,,,Avenida Juan Carlos I Borbón,35,50009.0,,,,-0.9085259,41.6408311,-101137,4635457,frutas cester,130
POINT (-0.9101714 41.6419411),Café del Tíbet,,cafe,,,,,,,,,,,-0.9101714,41.6419411,-101320,4635581,café del tíbet,135
POINT (-0.9105818 41.6418103),Clínica Dental Talía Gil Penón,,dentist,,dentist,,,,,,,,,-0.9105818,41.6418103,-101366,4635566,clínica dental talía gil penón,135
POINT (-0.9112027 41.6419887),Donosti,,restaurant,,,,,,,,,,,-0.9112027,41.6419887,-101435,4635586,donosti,134
POINT (-0.9111411 41.6422712),Malvassia,,restaurant,,,,,,,,,,,-0.9111411,41.6422712,-101428,4635618,malvassia,134
