geometry,name,shop,amenity,tourism,healthcare,office,leisure,addr:street,addr:housenumber,addr:postcode,brand,operator,cuisine,lon,lat,Alicante_hdbscan_5_5
POINT (-0.4139498 38.3680183),Caixabank,,bank,,,,,,,,Caixabank,,,-0.4139498,38.3680183,24
POINT (-0.4223648 38.3766705),,,pharmacy,,pharmacy,,,,,,,,,-0.4223648,38.3766705,-1
POINT (-0.4195226 38.3751877),pelu,hairdresser,,,,,,,,,,,,-0.4195226,38.3751877,14
POINT (-0.4195179 38.3751451),Pizzería Hollywood,,fast_food,,,,,,,,,,,-0.4195179,38.3751451,14
POINT (-0.4195127 38.3748228),Hatuaire,hairdresser,,,,,,,,,,,,-0.4195127,38.3748228,14
POINT (-0.4195219 38.3745647),tienda de comestibles,grocery,,,,,,,,,,,,-0.4195219,38.3745647,14
POINT (-0.4171506 38.3705059),El Pollo Dorado,convenience,,,,,,,,,,,,-0.4171506,38.3705059,23
POINT (-0.4170668 38.370507),Farmaveter,,pharmacy,,pharmacy,,,,,,,,,-0.4170668,38.370507,23
POINT (-0.4168225 38.3705101),El Soparet,convenience,,,,,,,,,,,,-0.4168225,38.3705101,23
POINT (-0.4166143 38.3705127),,vacant,,,,,,,,,,,,-0.4166143,38.3705127,23
POINT (-0.4169288 38.3705087),,vacant,,,,,,,,,,,,-0.4169288,38.3705087,23
POINT (-0.4216126 38.367755),First Villas,,,,,estate_agent,,,,,,,,-0.4216126,38.367755,33
POINT (-0.4219484 38.3677257),Por los pelos,hairdresser,,,,,,,,,,,,-0.4219484,38.3677257,33
POINT (-0.4220721 38.3677315),,beauty,,,,,,,,,,,,-0.4220721,38.3677315,33
POINT (-0.4225115 38.3677054),Bertolini Motos,motorcycle,cafe,,,,,,,,,,,-0.4225115,38.3677054,33
POINT (-0.4228231 38.3675613),María,hairdresser,,,,,,,,,,,,-0.4228231,38.3675613,-1
POINT (-0.4229565 38.3676784),Kult Bar,,pub,,,,,,,,,,,-0.4229565,38.3676784,34
POINT (-0.4231649 38.367651),,,doctors,,doctor,,,,,,,,,-0.4231649,38.367651,34
POINT (-0.423561 38.3675844),,optician,,,,,,,,,,,,-0.423561,38.3675844,34
POINT (-0.4236441 38.3675758),Videoclub Cinebank,video,,,,,,,,,,,,-0.4236441,38.3675758,34
POINT (-0.4237121 38.3675674),,,doctors,,doctor,,,,,,,,,-0.4237121,38.3675674,34
POINT (-0.4238099 38.3675487),,,,,,estate_agent,,,,,,,,-0.4238099,38.3675487,34
POINT (-0.4243723 38.3674441),,clothes,,,,,,,,,,,,-0.4243723,38.3674441,34
POINT (-0.4246348 38.3681564),Don Carlos,,cafe,,,,,,,,,,,-0.4246348,38.3681564,-1
POINT (-0.4244417 38.3674285),,,,,,estate_agent,,,,,,,,-0.4244417,38.3674285,34
POINT (-0.4246659 38.3673745),Barclays,,atm,,,,,,,,Barclays,Barclays,,-0.4246659,38.3673745,34
POINT (-0.4246527 38.3673763),Barclays,,bank,,,,,,,,Barclays,,,-0.4246527,38.3673763,34
POINT (-0.4247697 38.3673455),Aifos,,,,,estate_agent,,,,,,,,-0.4247697,38.3673455,34
POINT (-0.4248687 38.3673253),,appliance,,,,,,,,,,,,-0.4248687,38.3673253,34
POINT (-0.4249629 38.3673011),All-in Sports Bar,,cafe,,,,,,,,,,,-0.4249629,38.3673011,34
POINT (-0.4250854 38.3672646),tienda de colchones,yes,,,,,,,,,,,,-0.4250854,38.3672646,34
POINT (-0.4251845 38.3672345),Bayari,,restaurant,,,,,,,,,,,-0.4251845,38.3672345,34
POINT (-0.4291617 38.3666179),,kiosk,,,,,,,,,,,,-0.4291617,38.3666179,-1
POINT (-0.4292934 38.3667719),Touch,,restaurant,,,,,,,,,,,-0.4292934,38.3667719,-1
POINT (-0.4304591 38.3663084),Restaurante Tailandés Sabatika,,restaurant,,,,,,,,,,thai,-0.4304591,38.3663084,-1
POINT (-0.5136878 38.3386688),Lorenzo Carbonell,,taxi,,,,,,,,,,,-0.5136878,38.3386688,-1
POINT (-0.4839118 38.3603695),horno Rafaelet,bakery,,,,,,,,,,,,-0.4839118,38.3603695,-1
POINT (-0.4126006 38.3617831),Clínica Mare Nostrum,,taxi,,,,,,,,,,,-0.4126006,38.3617831,-1
POINT (-0.4314241 38.3644441),La Gamba,,restaurant,,,,,,,,,,,-0.4314241,38.3644441,45
POINT (-0.489907 38.3414713),parada taxi Autobuses,,taxi,,,,,,,,,,,-0.489907,38.3414713,-1
POINT (-0.4166477 38.3707972),Supermercado Manzanares,convenience,,,,,,,,,,,,-0.4166477,38.3707972,23
POINT (-0.4944744 38.3451254),La City Hotel,,,hotel,,,,,,,,,,-0.4944744,38.3451254,102
POINT (-0.4869017 38.338395),Restaurante Dársena,,restaurant,,,,,,,,,,regional,-0.4869017,38.338395,-1
POINT (-0.5133974 38.3222165),kiosco del palmeral,,pub,,,,,,,,,,,-0.5133974,38.3222165,-1
POINT (-0.5132912 38.3219089),mirador del puerto,,,viewpoint,,,,,,,,,,-0.5132912,38.3219089,-1
POINT (-0.5150707 38.4615505),,,,viewpoint,,,,,,,,,,-0.5150707,38.4615505,-1
POINT (-0.417002 38.3645924),Holiday Inn Alicante,,,hotel,,,,,,,Holiday Inn,Holiday Inn,,-0.417002,38.3645924,-1
POINT (-0.4392971 38.3790808),Torre de Rejas,,restaurant,,,,,,,,,,regional,-0.4392971,38.3790808,-1
POINT (-0.4948606 38.343017),Teatre Arniches,,theatre,,,,,avenida de Aguilera,1,,,,,-0.4948606,38.343017,-1
POINT (-0.4950717 38.3431278),Conselleria d'Infraestructures i Transport,,,,,government,,,,,,,,-0.4950717,38.3431278,91
POINT (-0.4950496 38.3430208),Institut Valencià de la Joventut,,,,,government,,,,,,,,-0.4950496,38.3430208,91
POINT (-0.480985 38.3465433),Col·legi Sant Roc,,school,,,,,,,,,,,-0.480985,38.3465433,-1
POINT (-0.4816896 38.348479),La Ereta,,restaurant,,,,,,,,,,international,-0.4816896,38.348479,-1
POINT (-0.4811329 38.3479581),,,cafe,,,,,,,,,,,-0.4811329,38.3479581,-1
POINT (-0.49535 38.3440307),Estación Terminal Ferrocarril,,taxi,,,,,,,,,,,-0.49535,38.3440307,-1
POINT (-0.4835151 38.3442822),Soho,,bar,,,,,,,,,,,-0.4835151,38.3442822,-1
POINT (-0.4874182 38.3411109),Banco Sabadell,,bank,,,,,,,,Banco Sabadell,,,-0.4874182,38.3411109,-1
POINT (-0.487114 38.3390484),Aldebarán,,restaurant,,,,,paseo almirante Guillén Tato,,3003.0,,,breakfast;fish;grill;local;regional;seafood;spanish,-0.487114,38.3390484,-1
POINT (-0.4924088 38.3432385),Farmacia Maisonnave,,pharmacy,,pharmacy,,,,,,,,,-0.4924088,38.3432385,103
POINT (-0.4727597 38.3588079),Juan García Ortiz,,pharmacy,,pharmacy,,,,,,,,,-0.4727597,38.3588079,61
POINT (-0.4718922 38.359043),,kiosk,,,,,,,,,,,,-0.4718922,38.359043,61
POINT (-0.4738591 38.3583163),,kiosk,,,,,,,,,,,,-0.4738591,38.3583163,61
POINT (-0.4780233 38.3588175),Expert,electronics,,,,,,,,,Expert,,,-0.4780233,38.3588175,74
POINT (-0.479005 38.3588138),Café Terraza,,cafe,,,,,carrer de Góngora,9,3012.0,,,,-0.479005,38.3588138,74
POINT (-0.4777002 38.3568583),Racó del Plá,,restaurant,,,,,,,,,,regional,-0.4777002,38.3568583,60
POINT (-0.4761015 38.3602449),El rincón de la amistad,,restaurant,,,,,,,,,,,-0.4761015,38.3602449,-1
POINT (-0.5455247 38.3429799),Café Bar Ali-Oil,,cafe,,,,,,,,,,,-0.5455247,38.3429799,-1
POINT (-0.525562 38.3443393),Asador 7 de Julio,,restaurant,,,,,,,,,,,-0.525562,38.3443393,40
POINT (-0.5271327 38.3448778),Bar Europa,,restaurant,,,,,,,,,,,-0.5271327,38.3448778,-1
POINT (-0.4949514 38.3754255),Centro de Salud Ciudad Jardín,,clinic,,,,,,,,,,,-0.4949514,38.3754255,47
POINT (-0.4915656 38.3397106),La Bona Cuina,,restaurant,,,,,,,,,,chinese,-0.4915656,38.3397106,-1
POINT (-0.4941313 38.3424623),Piripi,,restaurant,,,,,,,,,,,-0.4941313,38.3424623,93
POINT (-0.5635958 38.4107649),Restaurante Casamar,,restaurant,,,,,,,,,,,-0.5635958,38.4107649,2
POINT (-0.4310484 38.3634069),,,pharmacy,,,,,,,,,,,-0.4310484,38.3634069,44
POINT (-0.4308152 38.3634219),Open 25,convenience,,,,,,,,,,,,-0.4308152,38.3634219,-1
POINT (-0.4873243 38.3458356),cine Navas,,cinema,,,,,,,,,,,-0.4873243,38.3458356,-1
POINT (-0.4851219 38.3452916),Nou Manolín,,restaurant,,,,,,,,,,,-0.4851219,38.3452916,-1
POINT (-0.4815514 38.3442953),Monastrell,,restaurant,,,,,,,,,,,-0.4815514,38.3442953,109
POINT (-0.487199 38.3471024),El jumillano,,restaurant,,,,,,,,,,,-0.487199,38.3471024,108
POINT (-0.4237804 38.3675664),,dry_cleaning,,,,,,,,,,,,-0.4237804,38.3675664,34
POINT (-0.4242107 38.3674857),La trastienda,florist,,,,,,,,,,,,-0.4242107,38.3674857,34
POINT (-0.4222225 38.3677448),Arquitectura e interiorismo,,,,,architect,,,,,,,,-0.4222225,38.3677448,33
POINT (-0.4313873 38.3645179),Cervecería Bayarri,,restaurant,,,,,,,,,,regional,-0.4313873,38.3645179,45
POINT (-0.4313375 38.3647208),Banco Sabadell,,bank,,,,,,,,Banco Sabadell,,,-0.4313375,38.3647208,45
POINT (-0.4310529 38.3648646),Bancaixa,,bank,,,,,,,,,,,-0.4310529,38.3648646,-1
POINT (-0.4401247 38.3657462),Lucentum,,restaurant,,,,,,,,,,spanish,-0.4401247,38.3657462,15
POINT (-0.4328937 38.3641351),Destino,,pub,,,,,,,,,,,-0.4328937,38.3641351,35
POINT (-0.4304644 38.3662597),Canela,,cafe,,,,,,,,,,ice_cream,-0.4304644,38.3662597,-1
POINT (-0.4334196 38.368457),Isla d'Jerba,,restaurant,,,,,,,,,,kebab,-0.4334196,38.368457,28
POINT (-0.4333758 38.3683824),Alisan-Control de plagas,chemist,,,,,,,,,,,,-0.4333758,38.3683824,28
POINT (-0.4333301 38.3683233),La rosa blanca,dry_cleaning,,,,,,,,,,,,-0.4333301,38.3683233,28
POINT (-0.433294 38.3682793),La Casa del Fumador,kiosk,,,,,,,,,,,,-0.433294,38.3682793,28
POINT (-0.43324 38.3682674),Crowley,,pub,,,,,Avenida de Ansaldo,,3540.0,,,,-0.43324,38.3682674,28
POINT (-0.4329698 38.364224),centro óptico Gadea,optician,,,,,,,,,,,,-0.4329698,38.364224,35
POINT (-0.4246326 38.3600524),hostal Mont Royal,,,motel,,,,,,,,,,-0.4246326,38.3600524,22
POINT (-0.4213756 38.3590718),Conan,,fast_food,,,,,,,,,,,-0.4213756,38.3590718,20
POINT (-0.5804874 38.3964923),,,atm,,,,,,,,,CAM - Caja Mediterráneo,,-0.5804874,38.3964923,2
POINT (-0.4895327 38.3455207),Cines aAna Alicante,,cinema,,,,,calle médico Pascual Pérez,44,,,,,-0.4895327,38.3455207,99
POINT (-0.5841062 38.4050353),,,post_box,,,,,,,,Correos,Correos,,-0.5841062,38.4050353,2
POINT (-0.4308142 38.3649426),Caixabank,,bank,,,,,,,,Caixabank,,,-0.4308142,38.3649426,-1
POINT (-0.4304754 38.3650539),Caja Castilla La Mancha,,bank,,,,,,,,,,,-0.4304754,38.3650539,-1
POINT (-0.4301003 38.3652529),Alcantara,furniture,,,,,,,,,,,,-0.4301003,38.3652529,-1
POINT (-0.4295348 38.3654574),BBK,,bank,,,,,,,,,,,-0.4295348,38.3654574,-1
POINT (-0.4294001 38.3655079),Ibercal,shoes,,,,,,,,,,,,-0.4294001,38.3655079,-1
POINT (-0.4292916 38.365547),Kariba,sports,,,,,,,,,,,,-0.4292916,38.365547,-1
POINT (-0.4948067 38.3428362),Banco Sabadell,,bank,,,,,Avenida de Óscar Esplá,37,,Banco Sabadell,,,-0.4948067,38.3428362,-1
POINT (-0.4934697 38.3434492),Zara,clothes,,,,,,,,,Zara,,,-0.4934697,38.3434492,-1
POINT (-0.4932051 38.3434587),ginfer,hairdresser,,,,,,,,,,,,-0.4932051,38.3434587,-1
POINT (-0.4925792 38.3432146),Suarez,jewelry,,,,,,,,,,,,-0.4925792,38.3432146,103
POINT (-0.4928239 38.3434733),Oysho,clothes,,,,,,,,,Zara,,,-0.4928239,38.3434733,103
POINT (-0.4926565 38.3434823),El Ganso,clothes,,,,,,,,,,,,-0.4926565,38.3434823,103
POINT (-0.4923474 38.3435132),Desigual,clothes,,,,,,,,,,,,-0.4923474,38.3435132,103
POINT (-0.4920692 38.3435255),Sephora,clothes,,,,,,,,,,,,-0.4920692,38.3435255,103
POINT (-0.4918033 38.3435419),Massimo Dutty,clothes,,,,,,,,,,,,-0.4918033,38.3435419,103
POINT (-0.4915934 38.3435378),Springfield,clothes,,,,,,,,,Springfield,,,-0.4915934,38.3435378,103
POINT (-0.485649 38.3476939),Viajes Iberia,travel_agency,,,,,,,,,,,,-0.485649,38.3476939,110
POINT (-0.4854967 38.348119),Me apetece,,bar,,,,,,,,,,,-0.4854967,38.348119,110
POINT (-0.4855961 38.3480831),Caja Rural Central,,bank,,,,,,,,,,,-0.4855961,38.3480831,110
POINT (-0.4855919 38.3477827),,kiosk,,,,,,,,,,,,-0.4855919,38.3477827,110
POINT (-0.4849837 38.3479136),Bankinter,,bank,,,,,,,,Bankinter,,,-0.4849837,38.3479136,-1
POINT (-0.4851224 38.3478927),Il Duomo,,cafe,,,,,,,,,,,-0.4851224,38.3478927,-1
POINT (-0.4852345 38.3478525),Baguettalia,,fast_food,,,,,,,,,,burger,-0.4852345,38.3478525,113
POINT (-0.4852852 38.3481888),María de los Ángeles Alarcón Cánovas,,pharmacy,,pharmacy,,,,,,,,,-0.4852852,38.3481888,-1
POINT (-0.4853381 38.348174),Barclays,,bank,,,,,,,,Barclays,,,-0.4853381,38.348174,110
POINT (-0.4854164 38.3481465),Banco Espírito Santo,,bank,,,,,,,,,,,-0.4854164,38.3481465,110
POINT (-0.4864383 38.3474066),Farmacia Magulliza,,pharmacy,,pharmacy,,,,,,,,,-0.4864383,38.3474066,-1
POINT (-0.486956 38.3472244),Tango,clothes,,,,,,,,,,,,-0.486956,38.3472244,108
POINT (-0.4870216 38.3472011),Ulloa ópticos,optician,,,,,,,,,,,,-0.4870216,38.3472011,108
POINT (-0.4870596 38.3475713),Banco Sabadell,,bank,,,,,,,,Banco Sabadell,,,-0.4870596,38.3475713,108
POINT (-0.4871971 38.3474972),Monerris Sirvent,,cafe,,,,,,,,,,,-0.4871971,38.3474972,108
POINT (-0.486698 38.3477045),BBVA,,bank,,,,,,,,BBVA,BBVA,,-0.486698,38.3477045,-1
POINT (-0.4875386 38.3469955),Da,,cafe,,,,,,,,,,,-0.4875386,38.3469955,108
POINT (-0.4876496 38.3469562),General Óptica,optician,,,,,,,,,General Óptica,,,-0.4876496,38.3469562,108
POINT (-0.4878231 38.3471969),,kiosk,,,,,,,,,,,,-0.4878231,38.3471969,108
POINT (-0.4877353 38.3472826),Clínica IGB Dental,,dentist,,dentist,,,,,,,,,-0.4877353,38.3472826,108
POINT (-0.487345 38.3474489),,lottery,,,,,,,,,,,,-0.487345,38.3474489,108
POINT (-0.488306 38.3470726),Lizarrán,,restaurant,,,,,,,,Lizarrán,,spanish,-0.488306,38.3470726,108
POINT (-0.4883697 38.347051),Spejo's,stationery,,,,,,,,,,,,-0.4883697,38.347051,108
POINT (-0.4884604 38.3470172),Banco Sabadell,,bank,,,,,,,,Banco Sabadell,Banco Sabadell,,-0.4884604,38.3470172,108
POINT (-0.488574 38.3469779),OKIM,clothes,,,,,,,,,,,,-0.488574,38.3469779,108
POINT (-0.4886904 38.3469481),Antonia Miralles Llopis,,pharmacy,,pharmacy,,,Avenida Alfonso X El Sabio,36,,,,,-0.4886904,38.3469481,-1
POINT (-0.4881423 38.3471336),Viajes Halcón,travel_agency,,,,,,,,,,,,-0.4881423,38.3471336,108
POINT (-0.4882465 38.347093),bazar Madrid,electronics,,,,,,,,,,,,-0.4882465,38.347093,108
POINT (-0.4893964 38.3462926),Caixabank,,bank,,,,,,,,Caixabank,,,-0.4893964,38.3462926,99
POINT (-0.4891122 38.3467765),Torneo,sports,,,,,,,,,,,,-0.4891122,38.3467765,99
POINT (-0.4891646 38.3467511),,furniture,,,,,,,,,,,,-0.4891646,38.3467511,99
POINT (-0.4894285 38.3466733),Orange,mobile_phone,,,,,,,,,Orange,,,-0.4894285,38.3466733,99
POINT (-0.4894979 38.3466428),El Merengue,,restaurant,,,,,,,,,,,-0.4894979,38.3466428,99
POINT (-0.4895504 38.3466174),Viajes Tourazor,travel_agency,,,,,,,,,,,,-0.4895504,38.3466174,99
POINT (-0.4896451 38.3465938),Vodafone,mobile_phone,,,,,,,,,Vodafone,,,-0.4896451,38.3465938,99
POINT (-0.4897635 38.3461809),Instituto Auditivo GAES,,doctors,,doctor,,,,,,,,,-0.4897635,38.3461809,99
POINT (-0.4899243 38.3461166),Banco Santander,,bank,,,,,Plaza de los Luceros,1,3001.0,Banco Santander,,,-0.4899243,38.3461166,99
POINT (-0.4898295 38.3465193),Clínica Ortopedia,,doctors,,doctor,,,,,,,,,-0.4898295,38.3465193,99
POINT (-0.4899852 38.3464499),Vidaluz,electronics,,,,,,,,,,,,-0.4899852,38.3464499,99
