geometry,name,shop,amenity,tourism,healthcare,office,leisure,addr:street,addr:housenumber,addr:postcode,brand,operator,cuisine,lon,lat,lon_rnd,lat_rnd,name_norm,Bilbao_hdbscan_5_5
POINT (-2.9484154 43.2709375),Euria,clothes,,,,,,Avenida Madariaga / Madariaga etorbidea,,48014.0,,,,-2.9484154,43.2709375,-328218,4816921,euria,53
POINT (-2.9484515 43.2709365),Halcón bidaiak,travel_agency,,,,,,Avenida Madariaga / Madariaga etorbidea,,48014.0,,,,-2.9484515,43.2709365,-328222,4816921,halcón bidaiak,53
POINT (-2.9485386 43.2709341),,tobacco,,,,,,Avenida Madariaga / Madariaga etorbidea,,48014.0,,,,-2.9485386,43.2709341,-328231,4816920,,53
POINT (-2.9473299 43.2709397),Zapateria Gomez,shoes,,,,,,Avenida Madariaga / Madariaga etorbidea,,48014.0,,,,-2.9473299,43.2709397,-328097,4816921,zapateria gomez,49
POINT (-2.9470595 43.2709503),Super Perfumeria,cosmetics,,,,,,Avenida Madariaga / Madariaga etorbidea,,48014.0,,,,-2.9470595,43.2709503,-328067,4816922,super perfumeria,49
POINT (-2.9472128 43.2709433),Ikatz,,pub,,,,,Avenida Madariaga / Madariaga etorbidea,,48014.0,,,,-2.9472128,43.2709433,-328084,4816921,ikatz,49
POINT (-2.9472732 43.270937),Ariltze Taberna,,pub,,,,,Avenida Madariaga / Madariaga etorbidea,,48014.0,,,,-2.9472732,43.270937,-328090,4816921,ariltze taberna,49
POINT (-2.9470196 43.2711675),Landako Fruta,greengrocer,,,,,,Avenida Madariaga / Madariaga etorbidea,,48014.0,,,,-2.9470196,43.2711675,-328062,4816946,landako fruta,49
POINT (-2.9471298 43.271165),Stones,,pub,,,,,Avenida Madariaga / Madariaga etorbidea,,48014.0,,,,-2.9471298,43.271165,-328074,4816946,stones,49
POINT (-2.9472232 43.2711636),Maitagarri Taberna,,bar,,,,,Avenida Madariaga / Madariaga etorbidea,,48014.0,,,,-2.9472232,43.2711636,-328085,4816946,maitagarri taberna,49
POINT (-2.9472935 43.2711674),Libreria,books,,,,,,,,48014.0,,,,-2.9472935,43.2711674,-328093,4816946,libreria,49
POINT (-2.9475687 43.2711338),Morales Reparaciones,locksmith,,,,,,Avenida Madariaga / Madariaga etorbidea,,48014.0,,,,-2.9475687,43.2711338,-328123,4816943,morales reparaciones,52
POINT (-2.9476377 43.2711327),Calzado Morales,shoes,,,,,,Avenida Madariaga / Madariaga etorbidea,,48014.0,,,,-2.9476377,43.2711327,-328131,4816942,calzado morales,52
POINT (-2.94784 43.2711297),,hairdresser,,,,,,Avenida Madariaga / Madariaga etorbidea,,48014.0,,,,-2.94784,43.2711297,-328154,4816942,,52
POINT (-2.9482547 43.2711189),Body Bell,cosmetics,,,,,,Avenida Madariaga / Madariaga etorbidea,,48014.0,,,,-2.9482547,43.2711189,-328200,4816941,body bell,53
POINT (-2.9482923 43.2711178),compro oro,pawnbroker,,,,,,,,,,,,-2.9482923,43.2711178,-328204,4816941,compro oro,53
POINT (-2.9483777 43.2711154),Zubiri,erotic,,,,,,Avenida Madariaga / Madariaga etorbidea,,48014.0,,,,-2.9483777,43.2711154,-328213,4816941,zubiri,53
POINT (-2.9487247 43.2688679),Sistener,,,,,yes,,,,,,,,-2.9487247,43.2688679,-328252,4816690,sistener,-1
POINT (-2.9481224 43.2689618),Aurora Sanz,hairdresser,,,,,,,,,,,,-2.9481224,43.2689618,-328185,4816701,aurora sanz,-1
POINT (-2.9479964 43.2689814),I_Maker,,,,,company,,,,,,,,-2.9479964,43.2689814,-328171,4816703,i_maker,-1
POINT (-2.9478756 43.2690002),Loli Muñoz,hairdresser,,,,,,,,,,,,-2.9478756,43.2690002,-328158,4816705,loli muñoz,-1
POINT (-2.9472408 43.2691654),Txoko,confectionery,,,,,,,,,,,,-2.9472408,43.2691654,-328087,4816723,txoko,42
POINT (-2.9471396 43.2691687),JGomila proiek,,,,,architect,,,,,,,,-2.9471396,43.2691687,-328076,4816724,jgomila proiek,42
POINT (-2.9471033 43.2691695),Gortek,hearing_aids,,,,,,,,,,,,-2.9471033,43.2691695,-328072,4816724,gortek,42
POINT (-2.9470698 43.2691279),Centro Oficinas Power,,,,,yes,,,,,,,,-2.9470698,43.2691279,-328068,4816719,centro oficinas power,42
POINT (-2.9472407 43.2690234),Green Toki,farm,,,,,,,,,,,,-2.9472407,43.2690234,-328087,4816708,green toki,42
POINT (-2.9471702 43.2687441),Gisper Bilbao,,,,,yes,,,,,,,,-2.9471702,43.2687441,-328079,4816677,gisper bilbao,42
POINT (-2.9472666 43.2692561),Fisioterapia Izaro,,,,physiotherapist,,,,,,,,,-2.9472666,43.2692561,-328090,4816734,fisioterapia izaro,42
POINT (-2.9470876 43.269371),Lorena,,cafe,,,,,,,,,,,-2.9470876,43.269371,-328070,4816746,lorena,42
POINT (-2.9471265 43.2693917),Escuela de Patinaje Zona Verde,,,,,,sports_centre,,,,,,,-2.9471265,43.2693917,-328074,4816749,escuela de patinaje zona verde,42
POINT (-2.9470487 43.2689206),Centro Ayuda Zubia,,,,,yes,,,,,,,,-2.9470487,43.2689206,-328065,4816696,centro ayuda zubia,42
POINT (-2.9471057 43.2689433),Distek,,,,,yes,,,,,,,,-2.9471057,43.2689433,-328072,4816699,distek,42
POINT (-2.9363888 43.2663118),joseba airbnb,,,guest_house,,,,Calle Juan Ajuriaguerra / Juan Ajuriaguerra kalea,,,,,,-2.9363888,43.2663118,-326879,4816406,joseba airbnb,-1
POINT (-2.9443286 43.2570007),Floristería Kala Mascotas,florist,,,,,,,,,,,,-2.9443286,43.2570007,-327763,4815369,floristería kala mascotas,-1
POINT (-2.944235 43.2567833),Oficina de Correos,,post_office,,,,,,,,Oficina de Correos,Correos,,-2.944235,43.2567833,-327752,4815345,oficina de correos,-1
POINT (-2.9226662 43.2574541),Reta,bookmaker,,,,,,,,,,,,-2.9226662,43.2574541,-325351,4815420,reta,81
POINT (-2.944414 43.2571897),Telepizza,,fast_food,,,,,,,,Telepizza,,pizza,-2.944414,43.2571897,-327772,4815390,telepizza,-1
POINT (-2.9442905 43.2569151),Salón de Juego Cafetería Haltza,,cafe,,,,,,,,,,,-2.9442905,43.2569151,-327758,4815360,salón de juego cafetería haltza,-1
POINT (-2.922308 43.257966),Lakú,jewelry,,,,,,,,,,,,-2.922308,43.257966,-325311,4815477,lakú,81
POINT (-2.9233342 43.2569672),Lda. A. Turrillas Tihista,,pharmacy,,pharmacy,,,,,,,,,-2.9233342,43.2569672,-325426,4815366,lda. a. turrillas tihista,81
POINT (-2.9226314 43.2575396),ALE-HOP,gift,,,,,,,,,ALE-HOP,,,-2.9226314,43.2575396,-325347,4815429,ale-hop,81
POINT (-2.9493859 43.2710937),Nico's,clothes,,,,,,,,,,,,-2.9493859,43.2710937,-328326,4816938,nico's,-1
POINT (-2.9492447 43.2710967),Eguren electrodomésticos,appliance,,,,,,Avenida Madariaga Etorbidea,28,48014.0,,,,-2.9492447,43.2710967,-328310,4816938,eguren electrodomésticos,-1
POINT (-2.9491441 43.2710991),Txinatarra,paint,,,,,,,,,,,,-2.9491441,43.2710991,-328299,4816939,txinatarra,-1
POINT (-2.9487353 43.2711079),Bidarte,mall,,,,,,,,,,,,-2.9487353,43.2711079,-328253,4816940,bidarte,53
POINT (-2.9485098 43.2711126),Registro 24,,,,,government,,,,,,,,-2.9485098,43.2711126,-328228,4816940,registro 24,53
POINT (-2.9484723 43.2711131),Dia,supermarket,,,,,,,,,Dia,,,-2.9484723,43.2711131,-328224,4816940,dia,53
POINT (-2.9490845 43.2709212),Asencor fruteria,greengrocer,,,,,,,,,,,,-2.9490845,43.2709212,-328292,4816919,asencor fruteria,-1
POINT (-2.9486707 43.2709309),Cen's,hairdresser,,,,,,,,,,,,-2.9486707,43.2709309,-328246,4816920,cen's,53
