geometry,name,shop,amenity,tourism,healthcare,office,leisure,addr:street,addr:housenumber,addr:postcode,brand,operator,cuisine,lon,lat,lon_rnd,lat_rnd,name_norm,Cordoba_hdbscan_5_5
POINT (-4.7928101 37.8727848),Speed Queen,laundry,,,,,,,,,Speed Queen,,,-4.7928101,37.8727848,-533536,4215998,speed queen,26
POINT (-4.7937529 37.8725025),Clínica Veterinaria,,veterinary,,,,,,,,,,,-4.7937529,37.8725025,-533641,4215967,clínica veterinaria,26
POINT (-4.793216 37.8720798),Ferretería Ochoa,hardware,,,,,,,,,,,,-4.793216,37.8720798,-533581,4215920,ferretería ochoa,26
POINT (-4.7930042 37.87222),Tabacos,tobacco,,,,,,,,,,,,-4.7930042,37.87222,-533557,4215936,tabacos,26
POINT (-4.7929545 37.8723373),,,language_school,,,,,,,,,,,-4.7929545,37.8723373,-533552,4215949,,26
POINT (-4.7873386 37.8796753),Avril,clothes,,,,,,,,,,,,-4.7873386,37.8796753,-532927,4216765,avril,64
POINT (-4.7883127 37.8793055),Bambu,,restaurant,,,,,,,,,,,-4.7883127,37.8793055,-533035,4216724,bambu,64
POINT (-4.7878938 37.8794886),El Chusneo,,bar,,,,,,,,,,,-4.7878938,37.8794886,-532988,4216745,el chusneo,64
POINT (-4.7883996 37.8792819),Atipiko,,bar,,,,,,,,,,,-4.7883996,37.8792819,-533045,4216722,atipiko,64
POINT (-4.7834637 37.884299),V&F,hairdresser,,,,,,,,,,,,-4.7834637,37.884299,-532495,4217280,v&f,81
POINT (-4.7821324 37.8856574),Quíosco Gran Capitán,lottery,,,,,,,,,,,,-4.7821324,37.8856574,-532347,4217431,quíosco gran capitán,-1
POINT (-4.7820963 37.8861975),CaixaBank,,bank,,,,,,,,,,,-4.7820963,37.8861975,-532343,4217492,caixabank,-1
POINT (-4.7831438 37.8846237),Bossa by amarti,clothes,,,,,,,,,,,,-4.7831438,37.8846237,-532460,4217316,bossa by amarti,81
POINT (-4.7820198 37.8876715),bankinter,,bank,,,,,,,,,,,-4.7820198,37.8876715,-532334,4217656,bankinter,74
POINT (-4.7817448 37.8878243),Salvador,shoes,,,,,,,,,,,,-4.7817448,37.8878243,-532304,4217673,salvador,-1
POINT (-4.7821221 37.8863535),Santander,,bank,,,,,,,,,,,-4.7821221,37.8863535,-532346,4217509,santander,-1
POINT (-4.7823025 37.8875289),iberCaja,,bank,,,,,,,,,,,-4.7823025,37.8875289,-532366,4217640,ibercaja,74
POINT (-4.7818668 37.8877617),Folder,stationery,,,,,,,,,,,,-4.7818668,37.8877617,-532317,4217666,folder,-1
POINT (-4.777401 37.8913791),Don Folio,copyshop,,,,,,,,,,,,-4.777401,37.8913791,-531820,4218068,don folio,62
POINT (-4.7773795 37.8915398),Cafetería FCT,,fast_food,,,,,,,,,,,-4.7773795,37.8915398,-531818,4218086,cafetería fct,62
POINT (-4.7715608 37.8866089),Con Alma,,restaurant,,,,,,,,,,,-4.7715608,37.8866089,-531170,4217537,con alma,69
POINT (-4.7781131 37.8786695),Taberna La Manuela,,restaurant,,,,,,,,,,,-4.7781131,37.8786695,-531900,4216653,taberna la manuela,85
POINT (-4.7834901 37.88092),Arábiga specialty coffee,,cafe,,,,,,,,,,,-4.7834901,37.88092,-532498,4216904,arábiga specialty coffee,72
POINT (-4.9146719 37.8495629),Taberna el Chato,,restaurant,,,,,,,,,,steak_house,-4.9146719,37.8495629,-547101,4213413,taberna el chato,3
POINT (-4.77714 37.8787804),La Antigua,,restaurant,,,,,,,,,,,-4.77714,37.8787804,-531791,4216666,la antigua,-1
POINT (-4.8076493 37.9002733),Taberna Turruñuelos,,restaurant,,,,,Avenida de Turruñuelos,7,14011.0,,,,-4.8076493,37.9002733,-535188,4219058,taberna turruñuelos,12
POINT (-4.7730281 37.8833349),Frutos Secos Genaro,nuts,,,,,,,,,,,,-4.7730281,37.8833349,-531333,4217173,frutos secos genaro,68
POINT (-4.7681158 37.8888904),Alimentación July,convenience,,,,,,,,,,,,-4.7681158,37.8888904,-530787,4217791,alimentación july,45
POINT (-4.7818913 37.8785453),Club Alcorce,,,,,association,,,,,,,,-4.7818913,37.8785453,-532320,4216640,club alcorce,86
POINT (-4.7810501 37.8788962),Filmoteca de Andalucía,,,,,association,,,,,,,,-4.7810501,37.8788962,-532226,4216679,filmoteca de andalucía,86
POINT (-4.7808251 37.8791378),Casa Palacio Bandolero,,restaurant,,,,,,,,,,,-4.7808251,37.8791378,-532201,4216706,casa palacio bandolero,86
POINT (-4.7984353 37.8818046),Centro Rápido Cabañas,car_repair,,,,,,Calle San Adolfo,2,14005.0,EuroTaller,,,-4.7984353,37.8818046,-534162,4217002,centro rápido cabañas,-1
POINT (-4.7766323 37.8932221),,,pharmacy,,pharmacy,,,,,,,,,-4.7766323,37.8932221,-531735,4218273,,-1
POINT (-4.7724484 37.8888867),La Crema,,cafe,,,,,,,,,,,-4.7724484,37.8888867,-531269,4217791,la crema,49
POINT (-4.7812741 37.8974459),Casa Claudio,,restaurant,,,,,,,,,,,-4.7812741,37.8974459,-532251,4218744,casa claudio,38
POINT (-4.7727109 37.8887568),,hairdresser,,,,,,,,,,,,-4.7727109,37.8887568,-531298,4217776,,49
POINT (-4.7803672 37.894822),La Boutique de la Fruta,greengrocer,,,,,,,,,,,,-4.7803672,37.894822,-532150,4218452,la boutique de la fruta,34
POINT (-4.766132 37.889922),La Masía,greengrocer,,,,,,,,,,,,-4.766132,37.889922,-530566,4217906,la masía,-1
POINT (-4.7643883 37.8880976),Jamones Romero Torres,butcher,,,,,,,,,,,,-4.7643883,37.8880976,-530372,4217703,jamones romero torres,51
POINT (-4.7651905 37.8905093),La Alpargata,,pub,,,,,,,,,,,-4.7651905,37.8905093,-530461,4217971,la alpargata,52
POINT (-4.7665692 37.8870966),Café Bar Los Chopos,,pub,,,,,,,,,,,-4.7665692,37.8870966,-530614,4217592,café bar los chopos,-1
POINT (-4.7668237 37.8870736),Escuela Infantil El Puzzle,,school,,,,,,,,,,,-4.7668237,37.8870736,-530643,4217589,escuela infantil el puzzle,-1
POINT (-4.7641152 37.889357),Farmacia Pilar Gómez Arenal,,pharmacy,,pharmacy,,,,,,,,,-4.7641152,37.889357,-530341,4217843,farmacia pilar gómez arenal,-1
POINT (-4.7672923 37.8892422),La Napolitana 2,bakery,,,,,,,,,,,,-4.7672923,37.8892422,-530695,4217830,la napolitana 2,45
POINT (-4.7669608 37.88958),Sociedad de Plateros María Auxiliadora,,restaurant,,,,,,,,,,,-4.7669608,37.88958,-530658,4217868,sociedad de plateros maría auxiliadora,-1
POINT (-4.7769242 37.8932433),Clínica Dental Adame & Ayuso,,dentist,,dentist,,,,,,,,,-4.7769242,37.8932433,-531767,4218276,clínica dental adame & ayuso,-1
POINT (-4.7756724 37.8925934),Communicate Language Learning,,language_school,,,,,,,,,,,-4.7756724,37.8925934,-531628,4218203,communicate language learning,-1
POINT (-4.7815435 37.8951792),Bar Cordón,,pub,,,,,,,,,,,-4.7815435,37.8951792,-532281,4218491,bar cordón,34
POINT (-4.774856 37.890692),La Sacristía,,pub,,,,,,,,,,,-4.774856,37.890692,-531537,4217992,la sacristía,50
POINT (-4.7818485 37.8979161),La Tienda de Javi,convenience,,,,,,,,,,,,-4.7818485,37.8979161,-532315,4218796,la tienda de javi,-1
POINT (-4.7753895 37.8928932),Cash Ahorro,supermarket,,,,,,,,,,,,-4.7753895,37.8928932,-531596,4218237,cash ahorro,-1
POINT (-4.7809325 37.8931789),Velvet,,bar,,,,,,,,,,,-4.7809325,37.8931789,-532213,4218269,velvet,-1
POINT (-4.7818087 37.8972097),Carnicería Polonio,butcher,,,,,,,,,,,,-4.7818087,37.8972097,-532311,4218717,carnicería polonio,38
POINT (-4.7803293 37.8939042),El Palacio de Papel,stationery,,,,,,,,,,,,-4.7803293,37.8939042,-532146,4218349,el palacio de papel,34
POINT (-4.7784512 37.8832125),Fundación Santos Mártires de Córdoba,,,,,foundation,,,,,,,,-4.7784512,37.8832125,-531937,4217159,fundación santos mártires de córdoba,-1
POINT (-4.7788281 37.8830307),La Luna,books,,,,,,,,,,,,-4.7788281,37.8830307,-531979,4217139,la luna,-1
POINT (-4.7746907 37.888914),Barrilero,,pub,,,,,,,,,,,-4.7746907,37.888914,-531519,4217794,barrilero,-1
POINT (-4.7743825 37.8885965),Taberna Viana,,pub,,,,,,,,,,,-4.7743825,37.8885965,-531484,4217759,taberna viana,50
POINT (-4.7790278 37.8841417),,,pub,,,,,,,,,,,-4.7790278,37.8841417,-532001,4217263,,90
POINT (-4.7790376 37.8842782),Las Tendillas,,pharmacy,,,,,,,,,,,-4.7790376,37.8842782,-532002,4217278,las tendillas,90
POINT (-4.7790163 37.8843864),Rolwind,,,,,company,,,,,,,,-4.7790163,37.8843864,-532000,4217290,rolwind,90
POINT (-4.7790269 37.884405),Allianz,,,,,insurance,,,,,,,,-4.7790269,37.884405,-532001,4217292,allianz,90
POINT (-4.779042 37.8844197),Aromas,perfumery,,,,,,,,,,,,-4.779042,37.8844197,-532003,4217294,aromas,90
POINT (-4.7785939 37.8844379),,pawnbroker,,,,,,,,,,,,-4.7785939,37.8844379,-531953,4217296,,-1
POINT (-4.7785141 37.8844393),Aldi,supermarket,,,,,,,,,,,,-4.7785141,37.8844393,-531944,4217296,aldi,-1
POINT (-4.7782665 37.8844596),Relojería Joyería Suiza,jewelry,,,,,,,,,,,,-4.7782665,37.8844596,-531917,4217298,relojería joyería suiza,92
POINT (-4.7781059 37.8844673),Minutto,gift,,,,,,,,,,,,-4.7781059,37.8844673,-531899,4217299,minutto,92
POINT (-4.778035 37.884475),Café La Gloria,,cafe,,,,,,,,,,,-4.778035,37.884475,-531891,4217300,café la gloria,92
POINT (-4.7779196 37.8842558),Droguería El Globo,chemist,,,,,,,,,,,,-4.7779196,37.8842558,-531878,4217275,droguería el globo,92
POINT (-4.7778309 37.884253),English Beat,,language_school,,,,,,,,,,,-4.7778309,37.884253,-531868,4217275,english beat,92
POINT (-4.777694 37.8842293),Lonja Vintage,interior_decoration,,,,,,,,,,,,-4.777694,37.8842293,-531853,4217272,lonja vintage,92
POINT (-4.7776922 37.8841195),Los Tres Reyes,clothes,,,,,,,,,,,,-4.7776922,37.8841195,-531853,4217260,los tres reyes,92
POINT (-4.7778692 37.883979),FIR - Formación e Innovación Rural,,,,,educational_institution,,,,,,,,-4.7778692,37.883979,-531872,4217245,fir - formación e innovación rural,92
POINT (-4.7781511 37.8838126),Gestimars,,,,,estate_agent,,,,,,,,-4.7781511,37.8838126,-531904,4217226,gestimars,-1
