geometry,name,shop,amenity,tourism,healthcare,office,leisure,addr:street,addr:housenumber,addr:postcode,brand,operator,cuisine,lon,lat,lon_rnd,lat_rnd,name_norm,Malaga_hdbscan_5_5
POINT (-4.442297236399327 36.707725582985226),Instituto de Educación Secundario Ben Gabirol,,school,,,,,Calle Agustín Martín Carrión,6,29006.0,,Junta de Andalucía,,-4.442297236399327,36.707725582985226,-494517,4086304,instituto de educación secundario ben gabirol,-1
POINT (-4.482730394315102 36.72427452335647),,,,,,,park,,,,,,,-4.482730394315102,36.72427452335647,-499018,4088146,,48
POINT (-4.48542390549482 36.72330197322036),,,,,,,park,,,,,,,-4.48542390549482,36.72330197322036,-499317,4088038,,-1
POINT (-4.458997561993815 36.69817380797053),Colegio de Educación Infantil y Primaria Francisco de Goya,,school,,,,,Calle Cámara,3,29003.0,,,,-4.458997561993815,36.69817380797053,-496376,4085241,colegio de educación infantil y primaria francisco de goya,-1
POINT (-4.439348802906904 36.710008451603464),Campo de Fútbol Mortadelo,,,,,,sports_centre,Calle Reboul,,29006.0,,,,-4.439348802906904,36.710008451603464,-494188,4086558,campo de fútbol mortadelo,-1
POINT (-4.450713195982986 36.702016244699244),Cofradía Luz y Mar,,community_centre,,,,,Calle Hoyo Higuerón,3,29003.0,,,,-4.450713195982986,36.702016244699244,-495453,4085668,cofradía luz y mar,97
POINT (-4.508768486142226 36.67356414708027),Campo de Fútbol Alfredo Viñolo,,,,,,sports_centre,Calle Linares,18,29140.0,,,,-4.508768486142226,36.67356414708027,-501916,4082501,campo de fútbol alfredo viñolo,18
POINT (-4.3615763163916625 36.722468023933594),Colegio San Estanislao de Kostka,,school,,,,,Avenida Juan Sebastián Elcano,185,29017.0,,,,-4.3615763163916625,36.722468023933594,-485531,4087945,colegio san estanislao de kostka,-1
POINT (-4.368558909960622 36.723997910306935),Colegio Ángeles Custodios,,school,,,,,Calle Amador de los Ríos,8,29017.0,,,,-4.368558909960622,36.723997910306935,-486308,4088115,colegio ángeles custodios,-1
POINT (-4.370281228900274 36.72321515586072),Onspain,,school,,,,,Calle Pintor Martínez Cubells,12,29017.0,,,,-4.370281228900274,36.72321515586072,-486500,4088028,onspain,-1
POINT (-4.422437297858444 36.71988121211707),Colegio Sagrado Corazón,,school,,,,,Calle Liborio García,3,29005.0,,,,-4.422437297858444,36.71988121211707,-492306,4087657,colegio sagrado corazón,142
POINT (-4.4343942433303205 36.70831196832291),Colegio de Educación Infantil y Primaria José María Hinojosa,,school,,,,,Calle Héroe de Sostoa,49,29002.0,,,,-4.4343942433303205,36.70831196832291,-493637,4086369,colegio de educación infantil y primaria josé maría hinojosa,125
POINT (-4.53261902808398 36.732525253585365),Colegio de Educación Infantil y Primaria Colmenarejo,,school,,,,,Calle Principal de Colmenarejo,1,29590.0,,,,-4.53261902808398,36.732525253585365,-504571,4089065,colegio de educación infantil y primaria colmenarejo,-1
POINT (-4.440715268319634 36.702058542446736),Centro de Educación Permanente Huelin,,college,,,,,Calle Isla Cristina,7,29003.0,,Junta de Andalucía,,-4.440715268319634,36.702058542446736,-494340,4085673,centro de educación permanente huelin,-1
POINT (-4.453651954077894 36.717740503322105),Colegio de Educación Infantil y Primaria Ricardo León,,school,,,,,Calle Almogía,11,29007.0,,,,-4.453651954077894,36.717740503322105,-495781,4087419,colegio de educación infantil y primaria ricardo león,-1
POINT (-4.346166640734616 36.72186955162013),Colegio Platero,,school,,,,,Camino Viejo de Vélez,8,29018.0,,,,-4.346166640734616,36.72186955162013,-483815,4087879,colegio platero,-1
POINT (-4.358581451594967 36.71898125359519),Escuelas Profesionales Sagrada Familia,,school,,,,,Calle Banda del Mar,1,29017.0,,,,-4.358581451594967,36.71898125359519,-485197,4087557,escuelas profesionales sagrada familia,-1
POINT (-4.40972814224928 36.73405848446313),Colegio Diocesano Cardenal Herrera Oria,,school,,,,,Pasaje de los Almendrales,6,29013.0,,Fundación Victoria,,-4.40972814224928,36.73405848446313,-490891,4089235,colegio diocesano cardenal herrera oria,-1
POINT (-4.467852145582473 36.721279887152456),,,,,,,park,,,,,,,-4.467852145582473,36.721279887152456,-497361,4087813,,53
POINT (-4.4597774556855585 36.721483530965955),,,,,,,sports_centre,,,,,,,-4.4597774556855585,36.721483530965955,-496462,4087836,,-1
POINT (-4.4598130640688405 36.72167197157425),Vals Sports Teatinos,,,,,,fitness_centre,,,,,,,-4.4598130640688405,36.72167197157425,-496466,4087857,vals sports teatinos,-1
POINT (-4.467426289971855 36.72876484642603),Plaza Librero José Negrete,,,,,,park,,,,,,,-4.467426289971855,36.72876484642603,-497314,4088646,plaza librero josé negrete,-1
POINT (-4.464572945034648 36.72419290268957),,,,,,,park,,,,,,,-4.464572945034648,36.72419290268957,-496996,4088137,,-1
POINT (-4.485050891450538 36.658497009982426),McDonald's,,fast_food,,,,,Calle Plácido Domingo,1,29140.0,McDonald's,,burger,-4.485050891450538,36.658497009982426,-499276,4080824,mcdonald's,14
POINT (-4.507881950000001 36.6742393),,kiosk,,,,,,,,,,,,-4.507881950000001,36.6742393,-501817,4082576,,18
POINT (-4.504997583925079 36.66125579405881),Maskom Supermercados,supermarket,,,,,,Carretera de Coín,75,29140.0,,,,-4.504997583925079,36.66125579405881,-501496,4081131,maskom supermercados,27
POINT (-4.50430260834724 36.66112360479784),El Jamón,supermarket,,,,,,Carretera de Coín,73,29140.0,El Jamón,,,-4.50430260834724,36.66112360479784,-501419,4081116,el jamón,27
POINT (-4.478489707796037 36.67320041215578),Holiday Inn Express,,,hotel,,,,Avenida de Velázquez,294,29004.0,,,,-4.478489707796037,36.67320041215578,-498545,4082461,holiday inn express,-1
POINT (-4.4783090853244065 36.67371393058379),Del Paso,,car_rental,,,,,Avenida de Velázquez,292,29004.0,,,,-4.4783090853244065,36.67371393058379,-498525,4082518,del paso,-1
POINT (-4.499309947782301 36.66171116378236),,,,,,,park,,,,,,,-4.499309947782301,36.66171116378236,-500863,4081182,,23
POINT (-4.499482649999999 36.66095815),,kiosk,,,,,,,,,,,,-4.499482649999999,36.66095815,-500882,4081098,,23
POINT (-4.449119343455194 36.685534400477536),,,,,,,park,,,,,,,-4.449119343455194,36.685534400477536,-495276,4083834,,-1
POINT (-4.449481900000001 36.7146572),,kiosk,,,,,,,,,,,,-4.449481900000001,36.7146572,-495316,4087076,,67
POINT (-4.441693200048832 36.71689183278489),Centro de Salud de Carranque,,clinic,,clinic,,,Calle Virgen Inmaculada,15,29007.0,,Servicio Andaluz de Salud,,-4.441693200048832,36.71689183278489,-494449,4087324,centro de salud de carranque,-1
POINT (-4.477251218156045 36.65754461900474),,,,,,,park,,,,,,,-4.477251218156045,36.65754461900474,-498408,4080718,,20
POINT (-4.506836757088052 36.7056916135337),Centro Ciudadano El Tarajal - Los Chopos,,community_centre,,,,,Calle Chaparral,28,29006.0,,Ayuntamiento de Málaga,,-4.506836757088052,36.7056916135337,-501701,4086078,centro ciudadano el tarajal - los chopos,5
POINT (-4.468618459629032 36.731242964066695),Burger King,,fast_food,,,,,Avenida Lope de Vega,10,29190.0,Burger King,,burger,-4.468618459629032,36.731242964066695,-497447,4088922,burger king,40
POINT (-4.464449106964868 36.73207078471106),,,,,,,park,,,,,,,-4.464449106964868,36.73207078471106,-496982,4089014,,40
