param_config,cluster_label,num_points,avg_lon,avg_lat,median_lon,median_lat,bounding_box_area,density,radius_avg,radius_max,std_lon,std_lat,has_shop,shop_rel_butcher,shop_rel_car_repair,shop_rel_bakery,shop_rel_supermarket,amenity_rel_restaurant,amenity_rel_post_box,amenity_rel_doctors,amenity_rel_pharmacy,amenity_rel_school,amenity_rel_community_centre,amenity_rel_bar,amenity_rel_atm,amenity_rel_cafe,amenity_rel_clinic,amenity_rel_pub,shop_rel_copyshop,shop_rel_pet,shop_rel_tobacco,shop_rel_garden_centre,amenity_rel_library,shop_rel_hardware,shop_rel_convenience,amenity_rel_post_office,amenity_rel_events_venue,amenity_rel_biergarten,amenity_rel_theatre,shop_rel_furniture,shop_rel_wholesale,shop_rel_sports,shop_rel_electronics,shop_rel_doityourself,amenity_rel_fast_food,shop_rel_car,shop_rel_gift,shop_rel_variety_store,amenity_rel_charging_station,amenity_rel_car_rental,shop_rel_tyres,shop_rel_bathroom_furnishing,shop_rel_funeral_directors,amenity_rel_university,amenity_rel_veterinary,shop_rel_security,shop_rel_optician,shop_rel_clothes,shop_rel_houseware,shop_rel_car_parts,amenity_rel_cinema,shop_rel_stationery,shop_rel_books,shop_rel_sewing,shop_rel_jewelry,shop_rel_beauty,amenity_rel_bank,amenity_rel_dentist,shop_rel_mall,shop_rel_motorcycle,shop_rel_fuel,shop_rel_interior_decoration,amenity_rel_taxi,shop_rel_shoes,shop_rel_household_linen,shop_rel_pastry,shop_rel_hairdresser,shop_rel_bicycle,shop_rel_florist,shop_rel_yes,shop_rel_estate_agent,shop_rel_greengrocer,shop_rel_laundry,amenity_rel_language_school,shop_rel_toys,shop_rel_video_games,shop_rel_dry_cleaning,shop_rel_mobile_phone,shop_rel_kiosk,shop_rel_newsagent,shop_rel_vacant,shop_rel_medical_supply,shop_rel_doors,shop_rel_nutrition_supplements,shop_rel_lottery,shop_rel_perfumery,shop_rel_hearing_aids,shop_rel_confectionery,amenity_rel_college,shop_rel_seafood,shop_rel_boutique,shop_rel_e-cigarette,shop_rel_art,shop_rel_fabric,shop_rel_computer,shop_rel_chemist,shop_rel_appliance,shop_rel_ticket,shop_rel_outdoor,shop_rel_photo_studio,shop_rel_pet_grooming,shop_rel_kitchen,shop_rel_lighting,shop_rel_hifi,shop_rel_wine,shop_rel_erotic,shop_rel_second_hand,shop_rel_weapons,shop_rel_cosmetics,shop_rel_massage,amenity_rel_money_transfer,shop_rel_nuts,amenity_rel_arts_centre,shop_rel_leather,amenity_rel_place_of_worship,shop_rel_deli,shop_rel_fashion_accessories,shop_rel_craft,shop_rel_bag,amenity_rel_music_venue,shop_rel_tea,shop_rel_dairy,shop_rel_antiques,shop_rel_mobile_phone_accessories
Cordoba_hdbscan_5_5,71,6,-4.783220166666666,37.88977521666667,-4.7831199,37.8897362,2.9064959999856555e-07,20643413.92532318,0.00028067336986972567,0.0003955609325901882,0.0001771023495672052,0.00023378337848332272,No,,,,,0.333,,,,,,0.167,,0.333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cordoba_hdbscan_5_5,72,15,-4.783738619999999,37.880791286666664,-4.7837238,37.8808003,9.513680600012122e-07,15766768.54169446,0.00027813109214173,0.0007792339032099258,0.00021133143385060617,0.00026915893165365133,Yes,,,,,0.2,,,,,,0.067,0.067,0.133,,0.067,,,,,,,,,,,,,,,,,,,0.067,,,,,,,,,,,0.067,,,,,,,,,,,,,,,,,,0.067,0.067,,,,,,,,,,,,0.067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cordoba_hdbscan_5_5,73,13,-4.780591315384616,37.88902515384616,-4.7805019,37.8890532,1.5514710000064683e-06,8379144.695547516,0.0006037688940955072,0.0009755118376745117,0.0005287608021752769,0.000340807068398769,Yes,,,,0.154,0.154,,,,,,,0.077,,,,,,,,,,0.077,,,,,0.077,,,,,,,,0.077,,,,,,,,,,,,,,0.077,,,,,,,,,,,,,,,,,,,,0.077,,,,,,,,,,,,,,,,0.077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cordoba_hdbscan_5_5,74,9,-4.782366433333333,37.8882156,-4.7824332,37.8883599,1.2890310300005571e-06,6981988.633738406,0.0006172393130328469,0.001114504482323571,0.0001895912562446071,0.0006442013194648428,No,,,,,0.222,,,,,,0.333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.222,,,,,,0.111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cordoba_hdbscan_5_5,75,8,-4.7842575125,37.8793059625,-4.78428975,37.879315399999996,6.119387999994293e-07,13073202.745123306,0.00028814453500896405,0.0006141578820333555,0.00020152825755637794,0.00027771886386015977,No,,,,,0.125,,,0.125,,,0.125,,0.125,,0.25,,,,,,,,,,,,,,,,,0.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cordoba_hdbscan_5_5,76,7,-4.776049559931441,37.88131598993921,-4.7760452,37.8813119,2.6906995959478815e-07,26015538.89754845,0.00020188830748505654,0.00041145060481166185,0.00020465996380222362,0.00012141814779248732,Yes,,,,0.143,0.286,,,,,,0.143,,0.143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.143,,,,,,,,,,,
Cordoba_hdbscan_5_5,77,7,-4.7759211285714285,37.88556651428571,-4.7759259,37.8855785,5.328637200020119e-07,13136567.075674752,0.00029487834684521704,0.0006457577351082318,0.0001875831907965168,0.0002967365374432051,Yes,,,,0.143,0.286,,,,,,,,0.286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.143,,,,,,,,,,0.143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cordoba_hdbscan_5_5,78,7,-4.7810405000000005,37.888178614285714,-4.7810093,37.8881591,1.419863199995559e-07,49300524.163327105,0.00016108911370843116,0.00037699532422780127,8.195378488603338e-05,0.0001736949989286644,Yes,,,,,,,,0.143,,,,0.143,0.143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.143,,,,,,,,,,,,,,,,,,,,,0.143,,,,,,,,,,0.143,,,,,,,0.143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cordoba_hdbscan_5_5,79,5,-4.7807202,37.88730736,-4.780729,37.8874252,1.50112830000143e-07,33308278.845953654,0.00018756584094943023,0.0003595135875033768,0.00010098647434197158,0.00018096349466179926,Yes,,,,,,,,,,,,,,,0.2,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,,,,,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cordoba_hdbscan_5_5,80,5,-4.782399582088096,37.87754572991398,-4.7824795538723075,37.877589316903745,2.746560999789737e-07,18204583.842786577,0.00025594335200511,0.0003879392715594726,0.00023698694520577545,0.00014823707698004916,No,,,,,,,,,,,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
