geometry,name,shop,amenity,tourism,healthcare,office,leisure,addr:street,addr:housenumber,addr:postcode,brand,operator,cuisine,lon,lat,lon_rnd,lat_rnd,name_norm,madrid_hdbscan_5_5
POINT (-3.596968 40.3689922),Farmacia 12h Ldo. Enrique Hours,,pharmacy,,pharmacy,,,,,,,,,-3.596968,40.3689922,-400414,4493876,farmacia 12h ldo. enrique hours,67
POINT (-3.6376386 40.4378534),El Bar de los Bocadillos,,bar,,,,,,,,,,,-3.6376386,40.4378534,-404942,4501542,el bar de los bocadillos,458
POINT (-3.7040597 40.4373121),Midas,car_repair,,,,,,Calle de Bravo Murillo,34,,Midas,,,-3.7040597,40.4373121,-412336,4501482,midas,1145
POINT (-3.7069319 40.4264143),De Elisa,,restaurant,,,,,Calle de San Bernardo,63,28015,,,sushi,-3.7069319,40.4264143,-412656,4500268,de elisa,1329
POINT (-3.7035446 40.4371756),Harley-Davidson,car_repair,,,,,,Calle de García de Paredes,3,,,,,-3.7035446,40.4371756,-412279,4501466,harley-davidson,1145
POINT (-3.7038057 40.4372005),Alimentación,convenience,,,,,,Calle de García de Paredes,1,,,,,-3.7038057,40.4372005,-412308,4501469,alimentación,1145
POINT (-3.7055966 40.4122767),Hostal Tirso Plaza,,,guest_house,,,,Plaza de Tirso de Molina,13,28012,,,,-3.7055966,40.4122767,-412507,4498695,hostal tirso plaza,1153
POINT (-3.635559 40.4383798),Hevia,,bar,,,,,,,,,,,-3.635559,40.4383798,-404710,4501600,hevia,458
POINT (-3.6329013 40.4390934),,car,,,,,,,,,,,,-3.6329013,40.4390934,-404415,4501680,,458
POINT (-3.6375447 40.4376386),Gambrinus,,bar,,,,,,,,,,,-3.6375447,40.4376386,-404931,4501518,gambrinus,458
POINT (-3.6365209 40.4381261),,cosmetics,,,,,,,,,,,,-3.6365209,40.4381261,-404818,4501572,,458
POINT (-3.6374951 40.4375678),,hairdresser,,,,,,,,,,,,-3.6374951,40.4375678,-404926,4501510,,458
POINT (-3.6368382 40.4380511),,clothes,,,,,,,,,,,,-3.6368382,40.4380511,-404853,4501564,,458
POINT (-3.6376574 40.437783),,confectionery,,,,,,,,,,,,-3.6376574,40.437783,-404944,4501534,,458
POINT (-3.6369372 40.4380201),,hairdresser,,,,,,,,,,,,-3.6369372,40.4380201,-404864,4501560,,458
POINT (-3.6361576 40.4382246),Ferretería Femag saneamiento,hardware,,,,,,,,,,,,-3.6361576,40.4382246,-404777,4501583,ferretería femag saneamiento,458
POINT (-3.6375976 40.4381687),,clothes,,,,,,,,,,,,-3.6375976,40.4381687,-404937,4501577,,458
POINT (-3.6364855 40.438461),,optician,,,,,,,,,,,,-3.6364855,40.438461,-404814,4501609,,458
POINT (-3.636811 40.4380698),,hairdresser,,,,,,,,,,,,-3.636811,40.4380698,-404850,4501566,,458
POINT (-3.6365938 40.4384338),,butcher,,,,,,,,,,,,-3.6365938,40.4384338,-404826,4501606,,458
POINT (-3.6363937 40.4381567),,hairdresser,,,,,,,,,,,,-3.6363937,40.4381567,-404803,4501576,,458
POINT (-3.6360815 40.4385794),,shoes,,,,,,,,,,,,-3.6360815,40.4385794,-404769,4501623,,458
POINT (-3.6357772 40.4386465),,clothes,,,,,,,,,,,,-3.6357772,40.4386465,-404735,4501630,,458
POINT (-3.6354741 40.438415),Granier,bakery,cafe,,,,,,,,Granier,,,-3.6354741,40.438415,-404701,4501604,granier,458
POINT (-3.6345146 40.4386797),Mark Autos,car,,,,,,,,,,,,-3.6345146,40.4386797,-404594,4501634,mark autos,458
POINT (-3.633091 40.4390685),,,restaurant,,,,,,,,,,,-3.633091,40.4390685,-404436,4501677,,458
POINT (-3.6343351 40.438724),,convenience,,,,,,,,,,,,-3.6343351,40.438724,-404574,4501639,,458
POINT (-3.633974 40.4388133),,hairdresser,,,,,,,,,,,,-3.633974,40.4388133,-404534,4501649,,458
POINT (-3.6335691 40.4389333),degustan-Do,,bar,,,,,,,,,,,-3.6335691,40.4389333,-404489,4501662,degustan-do,458
POINT (-3.6334647 40.4389671),,car_repair,,,,,,,,,,,,-3.6334647,40.4389671,-404477,4501666,,458
POINT (-3.6333216 40.439004),,car_repair,,,,,,,,,,,,-3.6333216,40.439004,-404461,4501670,,458
POINT (-3.6359503 40.4382733),Humana,charity,,,,,,,,,Humana,,,-3.6359503,40.4382733,-404754,4501589,humana,458
POINT (-3.6351719 40.4385039),doner kebab,,fast_food,,,,,,,,,,,-3.6351719,40.4385039,-404667,4501614,doner kebab,458
POINT (-3.6349531 40.4385555),,convenience,,,,,,,,,,,,-3.6349531,40.4385555,-404643,4501620,,458
POINT (-3.6346794 40.4386402),Frutas y verduras Azahara,greengrocer,,,,,,,,,,,,-3.6346794,40.4386402,-404613,4501629,frutas y verduras azahara,458
POINT (-3.6337914 40.4388686),,,bar,,,,,,,,,,,-3.6337914,40.4388686,-404514,4501655,,458
