geometry,name,shop,amenity,tourism,healthcare,office,leisure,addr:street,addr:housenumber,addr:postcode,brand,operator,cuisine,lon,lat,lon_rnd,lat_rnd,name_norm,madrid_hdbscan_5_5
POINT (-3.7063121 40.4101325),Pavón,,cafe,,,,,,,,,,,-3.7063121,40.4101325,-412587,4498456,pavón,1167
POINT (-3.6991833 40.3496861),,stationery,,,,,,,,,,,,-3.6991833,40.3496861,-411793,4491727,,136
POINT (-3.6644162 40.4303623),Jarritus,,restaurant,,,,,,,,,,spanish,-3.6644162,40.4303623,-407923,4500708,jarritus,857
POINT (-3.6639027 40.4302465),Vips,,restaurant,,,,,Calle de Alcalá,200,28028,Vips,,international,-3.6639027,40.4302465,-407866,4500695,vips,857
POINT (-3.6953125 40.4248668),Nice things,clothes,,,,,,,,,,,,-3.6953125,40.4248668,-411362,4500096,nice things,1100
POINT (-3.6953005 40.4246405),Divisa,clothes,,,,,,,,,,,,-3.6953005,40.4246405,-411361,4500071,divisa,1100
POINT (-3.6952085 40.4250081),Eleonora Amadei,clothes,,,,,,,,,,,,-3.6952085,40.4250081,-411351,4500112,eleonora amadei,1100
POINT (-3.6952187 40.4247519),Caprile Photo,photo,,,,,,Calle de Argensola,2,28004,,,,-3.6952187,40.4247519,-411352,4500083,caprile photo,1100
POINT (-3.695327 40.4246056),La taberna de Argensola,,pub,,,,,,,,,,,-3.695327,40.4246056,-411364,4500067,la taberna de argensola,1100
POINT (-3.6952543 40.4249483),Bakari,bag,,,,,,,,,,,,-3.6952543,40.4249483,-411356,4500105,bakari,1100
POINT (-3.6952676 40.4246761),Sommet,bag,,,,,,,,,,,,-3.6952676,40.4246761,-411357,4500075,sommet,1100
POINT (-3.6949218 40.4251111),Enrique Gavilanes,clothes,,,,,,,,,,,,-3.6949218,40.4251111,-411319,4500123,enrique gavilanes,1100
POINT (-3.6954628 40.4247356),Lander Urquijo,clothes,,,,,,,,,,,,-3.6954628,40.4247356,-411379,4500082,lander urquijo,1100
POINT (-3.69504 40.4249458),Suus,clothes,,,,,,,,,,,,-3.69504,40.4249458,-411332,4500105,suus,1100
POINT (-3.6950962 40.4248709),,clothes,,,,,,,,,,,,-3.6950962,40.4248709,-411338,4500097,,1100
POINT (-3.6951729 40.4250697),La tasca suprema,,restaurant,,,,,Calle de Argensola,7,28004,,,,-3.6951729,40.4250697,-411347,4500119,la tasca suprema,1100
POINT (-3.7145836 40.427979),Banco Santander,,bank,,,,,,,,Banco Santander,Santander,,-3.7145836,40.427979,-413507,4500443,banco santander,1070
POINT (-3.7511919 40.4047029),Oficina de Correos,,post_office,,,,,Calle de Carlina,8,28011,Correos,Correos,,-3.7511919,40.4047029,-417583,4497852,oficina de correos,450
POINT (-3.750589 40.4046066),Farmacia Gordillo - Titos CB,,pharmacy,,pharmacy,,,Calle de Cebreros,92,28011,,,,-3.750589,40.4046066,-417516,4497841,farmacia gordillo - titos cb,450
POINT (-3.7502904 40.4041419),,,post_box,,,,,,,,Correos,Correos,,-3.7502904,40.4041419,-417482,4497789,,450
POINT (-3.6989759 40.415914),Aroma,,restaurant,,,,,,,,,,indian,-3.6989759,40.415914,-411770,4499100,aroma,1215
POINT (-3.6194517 40.3734471),Las Cubas,,restaurant,,,,,,,,,,,-3.6194517,40.3734471,-402917,4494372,las cubas,102
POINT (-3.620004 40.3738977),Carnes Fran,butcher,,,,,,Calle del Congosto,24,,,,,-3.620004,40.3738977,-402979,4494422,carnes fran,102
POINT (-3.6198377 40.3746067),Alegría,,bar,,,,,,,,,,,-3.6198377,40.3746067,-402960,4494501,alegría,102
POINT (-3.6203071 40.3749234),Hermanos Osuna,,cafe,,,,,,,,,,,-3.6203071,40.3749234,-403013,4494536,hermanos osuna,102
POINT (-3.6201543 40.3746007),Sport,,bar,,,,,,,,,,,-3.6201543,40.3746007,-402996,4494501,sport,102
POINT (-3.6204707 40.3759226),San Julián,,bar,,,,,,,,,,,-3.6204707,40.3759226,-403031,4494648,san julián,102
POINT (-3.6201034 40.3744536),Caixabank,,bank,,,,,,,,Caixabank,Caixabank,,-3.6201034,40.3744536,-402990,4494484,caixabank,102
POINT (-3.620216 40.3747233),Ahorramás,supermarket,,,,,,,,,Ahorramás,,,-3.620216,40.3747233,-403002,4494514,ahorramás,102
